Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
PLOS BIOLOGY,PLOS BIOL,1544-9173,1545-7885,BIOLOGY - SCIE,"44,888",9.593,Q1,2.06,99.64%
SYSTEMATIC BIOLOGY,SYST BIOL,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY - SCIE,"21,478",9.16,Q1,3.05,37%
BioScience Trends,BIOSCI TRENDS,1881-7815,1881-7823,BIOLOGY - SCIE,"2,711",9.083,Q1,1.6,100%
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,1537-1719,EVOLUTIONARY BIOLOGY - SCIE,"67,311",8.8,Q1,2.98,75.88%
eLife,ELIFE,2050-084X,2050-084X,BIOLOGY - SCIE,"89,502",8.713,Q1,2.21,99.49%
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,EVOLUTIONARY BIOLOGY - SCIE; ECOLOGY - SCIE,"15,145",8.678,Q1,1.62,28.21%
Methods in Ecology and Evolution,METHODS ECOL EVOL,2041-210X,2041-2096,ECOLOGY - SCIE,"24,026",8.335,Q1,1.83,34.36%
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,ECOLOGY - SCIE,"26,862",8.119,Q1,2.1,17.64%
BIOLOGICAL RESEARCH,BIOL RES,0716-9760,0717-6287,BIOLOGY - SCIE,"3,299",7.634,Q1,1.4,99.35%
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,ECOLOGY - SCIE,"26,729",7.563,Q1,1.46,37.68%
People and Nature,PEOPLE NAT,N/A,2575-8314,ECOLOGY - SCIE,"1,165",7.5,Q1,1.6,98.41%
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,ECOLOGY - SCIE,"44,069",7.497,Q1,1.42,15.18%
BMC BIOLOGY,BMC BIOL,N/A,1741-7007,BIOLOGY - SCIE,"10,352",7.364,Q1,1.6,99.44%
Biology Direct,BIOL DIRECT,N/A,1745-6150,BIOLOGY - SCIE,"2,618",7.173,Q1,1.26,97.44%
ZOOLOGICAL RESEARCH,ZOOL RES,2095-8137,N/A,ZOOLOGY - SCIE,"1,545",6.975,Q1,2.2,98.82%
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,ECOLOGY - SCIE,"10,132",6.91,Q1,1.38,23.69%
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,1466-822X,1466-8238,ECOLOGY - SCIE,"17,986",6.909,Q1,1.8,21.56%
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,ECOLOGY - SCIE,"28,723",6.865,Q1,1.52,31.58%
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,ECOLOGY - SCIE,"17,627",6.802,Q1,1.5,69.45%
QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,0033-5770,1539-7718,BIOLOGY - SCIE,"4,824",6.75,Q1,0.67,4.76%
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,1879-0534,BIOLOGY - SCIE,"14,531",6.698,Q1,1.46,10.97%
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,0962-8436,1471-2970,BIOLOGY - SCIE,"62,963",6.671,Q1,1.38,31.16%
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"45,664",6.622,Q1,1.3,27.64%
ENTOMOLOGIA GENERALIS,ENTOMOL GEN,0171-8177,2363-7102,ENTOMOLOGY - SCIE,984,6.608,Q1,2.47,0%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,0167-8809,1873-2305,ECOLOGY - SCIE,"35,091",6.576,Q1,1.7,11.80%
Communications Biology,COMMUN BIOL,N/A,2399-3642,BIOLOGY - SCIE,"11,444",6.548,Q1,1.6,99.84%
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,ECOLOGY - SCIE,"36,096",6.536,Q1,1.58,18.20%
Evolution Letters,EVOL LETT,N/A,2056-3744,EVOLUTIONARY BIOLOGY - SCIE,"1,065",6.494,Q1,1.16,92.31%
ECOLOGY,ECOLOGY,0012-9658,1939-9170,ECOLOGY - SCIE,"72,018",6.431,Q1,1.36,18.96%
JOURNAL OF ECOLOGY,J ECOL,0022-0477,1365-2745,ECOLOGY - SCIE,"26,651",6.381,Q1,1.6,21.02%
FUNCTIONAL ECOLOGY,FUNCT ECOL,0269-8463,1365-2435,ECOLOGY - SCIE,"22,359",6.282,Q1,1.32,19.32%
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,ECOLOGY - SCIE,"26,273",6.105,Q1,1.14,26.53%
FASEB JOURNAL,FASEB J,0892-6638,1530-6860,BIOLOGY - SCIE,"59,831",5.834,Q1,0.99,21.54%
Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,N/A,2056-3485,ECOLOGY - SCIE,"1,112",5.787,Q1,1.33,97.06%
Life Science Alliance,LIFE SCI ALLIANCE,N/A,2575-1077,BIOLOGY - SCIE,"2,253",5.781,Q1,1.36,99.14%
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,1567-5394,1878-562X,BIOLOGY - SCIE,"7,093",5.76,Q1,1.19,10.28%
JOURNAL OF PEST SCIENCE,J PEST SCI,1612-4758,1612-4766,ENTOMOLOGY - SCIE,"5,446",5.742,Q1,2.29,18.62%
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,ECOLOGY - SCIE,"12,239",5.714,Q1,1.28,92.34%
Plants People Planet,PLANTS PEOPLE PLANET,N/A,2572-2611,ECOLOGY - SCIE,678,5.695,Q1,1.08,96.11%
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,1365-2656,ECOLOGY - SCIE; ZOOLOGY - SCIE,"21,334",5.606,Q1,2.04,26.56%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,EVOLUTIONARY BIOLOGY - SCIE; ECOLOGY - SCIE; BIOLOGY - SCIE,"67,725",5.53,Q1,1.27,32.84%
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,1938-5455,ZOOLOGY - SCIE; ECOLOGY - SCIE,926,5.4,Q1,1,62.50%
MAMMAL REVIEW,MAMMAL REV,0305-1838,1365-2907,ZOOLOGY - SCIE; ECOLOGY - SCIE,"3,156",5.373,Q1,1.23,20.80%
Fire Ecology,FIRE ECOL,1933-9747,1933-9747,ECOLOGY - SCIE,"1,291",5.364,Q1,1.1,100%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,ENTOMOLOGY - SCIE; BIOLOGY - SCIE; ECOLOGY - SCIE,"4,250",5.254,Q1,0.9,14.29%
Movement Ecology,MOV ECOL,2051-3933,2051-3933,ECOLOGY - SCIE,"1,385",5.253,Q1,1.02,100%
Advances in Ecological Research,ADV ECOL RES,0065-2504,2163-582X,ECOLOGY - SCIE,"2,777",5.182,Q1,0.72,0%
Biology-Basel,BIOLOGY-BASEL,N/A,2079-7737,BIOLOGY - SCIE,"6,091",5.168,Q1,0.92,92.76%
Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,N/A,2050-6201,EVOLUTIONARY BIOLOGY - SCIE,831,5.143,Q1,0.89,97.53%
Journal of Insects as Food and Feed,J INSECTS FOOD FEED,N/A,2352-4588,ENTOMOLOGY - SCIE,"1,369",5.099,Q1,1.33,0%
Biogeosciences,BIOGEOSCIENCES,1726-4170,1726-4189,ECOLOGY - SCIE,"25,349",5.092,Q1,1.18,99.05%
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,ECOLOGY - SCIE,"13,472",5.043,Q1,1.09,25.54%
MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,1055-7903,1095-9513,EVOLUTIONARY BIOLOGY - SCIE,"24,132",5.019,Q1,1.06,11%
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,2096-4129,2332-8878,ECOLOGY - SCIE,971,4.971,Q1,0.73,100%
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,PESTIC BIOCHEM PHYS,0048-3575,1095-9939,ENTOMOLOGY - SCIE,"9,113",4.966,Q1,1.36,2.66%
Evolutionary Applications,EVOL APPL,1752-4571,1752-4571,EVOLUTIONARY BIOLOGY - SCIE,"7,387",4.929,Q1,1.07,97.20%
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,1350-4509,1745-2627,ECOLOGY - SCIE,"3,151",4.87,Q1,0.83,10.86%
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,0307-6970,1365-3113,ENTOMOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"3,299",4.841,Q1,1.55,16.32%
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,0305-0270,1365-2699,ECOLOGY - SCIE,"19,870",4.81,Q1,1.16,17.80%
CLADISTICS,CLADISTICS,0748-3007,1096-0031,ZOOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"4,808",4.714,Q1,1.91,10.26%
Interface Focus,INTERFACE FOCUS,2042-8898,2042-8901,BIOLOGY - SCIE,"3,459",4.661,Q1,1.09,38.54%
ECOLOGY AND SOCIETY,ECOL SOC,1708-3087,N/A,ECOLOGY - SCIE,"16,035",4.653,Q1,1.05,98.02%
BIOESSAYS,BIOESSAYS,0265-9247,1521-1878,BIOLOGY - SCIE,"12,321",4.653,Q1,0.81,34.93%
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,0003-0090,1937-3546,ECOLOGY - SCIE,"3,624",4.548,Q1,0.84,0%
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,1532-0456,1878-1659,ZOOLOGY - SCIE,"9,183",4.52,Q1,1.16,5.30%
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,ECOLOGY - SCIE,"3,848",4.498,Q2,1.04,9.96%
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,2296-701X,2296-701X,ECOLOGY - SCIE,"7,755",4.493,Q2,0.81,98.92%
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,1526-498X,1526-4998,ENTOMOLOGY - SCIE,"19,091",4.462,Q1,1.68,9.54%
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,INSECT BIOCHEM MOLEC,0965-1748,1879-0240,ENTOMOLOGY - SCIE,"10,224",4.421,Q1,1.4,9.83%
Ecological Processes,ECOL PROCESS,N/A,2192-1709,ECOLOGY - SCIE,"1,318",4.394,Q2,0.65,99.43%
ECOLOGICAL ENGINEERING,ECOL ENG,0925-8574,1872-6992,ECOLOGY - SCIE,"25,821",4.379,Q2,0.75,4.83%
ANIMAL CONSERVATION,ANIM CONSERV,1367-9430,1469-1795,ECOLOGY - SCIE,"4,596",4.371,Q2,0.96,16.46%
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,EVOLUTIONARY BIOLOGY - SCIE; ECOLOGY - SCIE,"31,923",4.367,Q2,1.03,16.19%
ECOSYSTEMS,ECOSYSTEMS,1432-9840,1435-0629,ECOLOGY - SCIE,"12,357",4.345,Q2,1.13,24.73%
Frontiers in Forests and Global Change,FRONT FOR GLOB CHANG,N/A,2624-893X,ECOLOGY - SCIE,"1,178",4.332,Q2,1.24,98.84%
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,0960-3115,1572-9710,ECOLOGY - SCIE,"15,361",4.296,Q2,0.79,24.26%
Insect Conservation and Diversity,INSECT CONSERV DIVER,1752-458X,1752-4598,ENTOMOLOGY - SCIE,"1,981",4.266,Q1,1.36,24.02%
OIKOS,OIKOS,0030-1299,1600-0706,ECOLOGY - SCIE,"25,612",4.254,Q2,1.01,22.26%
NeoBiota,NEOBIOTA,1619-0033,1314-2488,ECOLOGY - SCIE,"1,332",4.225,Q2,1.08,95.63%
Geobiology,GEOBIOLOGY,1472-4677,1472-4669,BIOLOGY - SCIE,"2,977",4.216,Q2,0.98,25.87%
Fungal Ecology,FUNGAL ECOL,1754-5048,1878-0083,ECOLOGY - SCIE,"4,139",4.204,Q2,1.06,9.24%
MICROBIAL ECOLOGY,MICROB ECOL,0095-3628,1432-184X,ECOLOGY - SCIE,"14,485",4.192,Q2,1.16,15.27%
RESTORATION ECOLOGY,RESTOR ECOL,1061-2971,1526-100X,ECOLOGY - SCIE,"8,550",4.181,Q2,0.88,16.03%
EVOLUTION,EVOLUTION,0014-3820,1558-5646,EVOLUTIONARY BIOLOGY - SCIE; ECOLOGY - SCIE,"33,634",4.171,Q2,0.93,23%
Journal of Integrated Pest Management,J INTEGR PEST MANAG,N/A,2155-7470,ENTOMOLOGY - SCIE,940,4.107,Q1,1.5,97.73%
Genome Biology and Evolution,GENOME BIOL EVOL,1759-6653,1759-6653,EVOLUTIONARY BIOLOGY - SCIE,"9,971",4.065,Q2,0.87,99.87%
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,SAUDI J BIOL SCI,1319-562X,2213-7106,BIOLOGY - SCIE,"9,217",4.052,Q2,1.01,99.27%
ASTROBIOLOGY,ASTROBIOLOGY,1531-1074,1557-8070,BIOLOGY - SCIE,"5,156",4.045,Q2,0.98,29.39%
EXCLI Journal,EXCLI J,1611-2156,1611-2156,BIOLOGY - SCIE,"3,177",4.022,Q2,0.89,0%
Myrmecological News,MYRMECOL NEWS,1994-4136,N/A,ENTOMOLOGY - SCIE,951,4,Q1,0.88,0%
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,0022-2844,1432-1432,EVOLUTIONARY BIOLOGY - SCIE,"8,997",3.973,Q2,0.52,27.13%
Global Ecology and Conservation,GLOB ECOL CONSERV,N/A,2351-9894,ECOLOGY - SCIE,"6,394",3.969,Q2,0.91,99.57%
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,0025-5564,1879-3134,BIOLOGY - SCIE,"8,137",3.935,Q2,0.87,5.98%
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,0092-8240,1522-9602,BIOLOGY - SCIE,"6,593",3.871,Q2,0.88,24.55%
BIOLOGICAL CONTROL,BIOL CONTROL,1049-9644,1090-2112,ENTOMOLOGY - SCIE,"11,564",3.857,Q1,1.25,8.16%
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,1433-8319,1433-8319,ECOLOGY - SCIE,"3,073",3.842,Q2,0.86,5.83%
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOL J LINN SOC-LOND,0024-4082,1096-3642,ZOOLOGY - SCIE,"7,373",3.834,Q1,1.92,7%
HEREDITY,HEREDITY,0018-067X,1365-2540,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"11,502",3.832,Q2,0.92,33.33%
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,EVOLUTIONARY BIOLOGY - SCIE; BIOLOGY - SCIE; ECOLOGY - SCIE,"13,630",3.812,Q2,0.89,N/A
CHRONOBIOLOGY INTERNATIONAL,CHRONOBIOL INT,0742-0528,1525-6073,BIOLOGY - SCIE,"8,768",3.749,Q2,0.85,5.50%
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,1476-9271,1476-928X,BIOLOGY - SCIE,"3,433",3.737,Q2,0.75,4.07%
BASIC AND APPLIED ECOLOGY,BASIC APPL ECOL,1439-1791,1618-0089,ECOLOGY - SCIE,"4,445",3.735,Q2,0.86,23.11%
Evolutionary Biology,EVOL BIOL,0071-3260,1934-2845,EVOLUTIONARY BIOLOGY - SCIE,"1,928",3.696,Q2,0.67,22.47%
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,0047-2484,1095-8606,EVOLUTIONARY BIOLOGY - SCIE,"9,692",3.656,Q2,1.55,4.02%
Advances in Experimental Medicine and Biology,ADV EXP MED BIOL,0065-2598,2214-8019,BIOLOGY - SCIE,"39,567",3.65,Q2,0.71,0.93%
JOURNAL OF BIOLOGICAL RHYTHMS,J BIOL RHYTHM,0748-7304,1552-4531,BIOLOGY - SCIE,"4,440",3.649,Q2,0.8,25.18%
Insect Science,INSECT SCI,1672-9609,1744-7917,ENTOMOLOGY - SCIE,"3,518",3.605,Q1,1.65,16.87%
BIOLOGICAL INVASIONS,BIOL INVASIONS,1387-3547,1573-1464,ECOLOGY - SCIE,"13,450",3.605,Q2,0.82,19.95%
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,0145-305X,1879-0089,ZOOLOGY - SCIE,"12,205",3.605,Q1,1.52,5.81%
Advances in Insect Physiology,ADV INSECT PHYSIOL,0065-2806,2213-6800,ENTOMOLOGY - SCIE,"1,216",3.6,Q1,0.49,0%
Ecosphere,ECOSPHERE,2150-8925,2150-8925,ECOLOGY - SCIE,"12,509",3.593,Q2,0.82,95.73%
EvoDevo,EVODEVO,N/A,2041-9139,EVOLUTIONARY BIOLOGY - SCIE,870,3.569,Q2,0.58,100%
FRESHWATER BIOLOGY,FRESHWATER BIOL,0046-5070,1365-2427,ECOLOGY - SCIE,"17,200",3.538,Q2,1.05,16.39%
ECOLOGICAL MODELLING,ECOL MODEL,0304-3800,1872-7026,ECOLOGY - SCIE,"23,647",3.512,Q2,0.8,13.26%
BMC EVOLUTIONARY BIOLOGY,BMC EVOL BIOL,1471-2148,1471-2148,EVOLUTIONARY BIOLOGY - SCIE,"15,425",3.436,Q2,0.76,99.74%
YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,0044-0086,1551-4056,BIOLOGY - SCIE,"3,193",3.434,Q2,0.48,0%
APPLIED VEGETATION SCIENCE,APPL VEG SCI,1402-2001,1654-109X,ECOLOGY - SCIE,"3,010",3.431,Q2,1.03,23.79%
INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,0962-1075,1365-2583,ENTOMOLOGY - SCIE,"4,244",3.424,Q1,0.98,7.98%
INTEGRATIVE AND COMPARATIVE BIOLOGY,INTEGR COMP BIOL,1540-7063,1557-7023,ZOOLOGY - SCIE,"7,317",3.392,Q1,1.73,12.75%
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,1100-9233,1654-1103,ECOLOGY - SCIE,"10,230",3.389,Q2,0.92,15.63%
RADIATION RESEARCH,RADIAT RES,0033-7587,1938-5404,BIOLOGY - SCIE,"10,929",3.372,Q2,0.73,0.30%
BMC ECOLOGY,BMC ECOL,N/A,1472-6785,ECOLOGY - SCIE,"1,994",3.368,Q2,0.71,99.12%
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,0955-3002,1362-3095,BIOLOGY - SCIE,"6,820",3.352,Q2,0.84,13.07%
JOURNAL OF EXPERIMENTAL BIOLOGY,J EXP BIOL,0022-0949,1477-9145,BIOLOGY - SCIE,"42,869",3.308,Q2,0.83,70.43%
Frontiers in Zoology,FRONT ZOOL,1742-9994,1742-9994,ZOOLOGY - SCIE,"3,196",3.3,Q1,1.61,99.29%
OECOLOGIA,OECOLOGIA,0029-8549,1432-1939,ECOLOGY - SCIE,"37,755",3.298,Q2,0.78,20.47%
Conservation Physiology,CONSERV PHYSIOL,2051-1434,2051-1434,ECOLOGY - SCIE,"2,485",3.252,Q2,0.8,98.48%
Life-Basel,LIFE-BASEL,N/A,2075-1729,BIOLOGY - SCIE,"3,943",3.251,Q2,0.58,92.98%
TURKISH JOURNAL OF BIOLOGY,TURK J BIOL,1300-0152,1303-6092,BIOLOGY - SCIE,"1,814",3.245,Q2,0.55,91.50%
Synthetic Biology,SYN BIOL,N/A,2397-7000,BIOLOGY - SCIE,283,3.244,Q2,0.79,97.10%
EUROPEAN JOURNAL OF SOIL BIOLOGY,EUR J SOIL BIOL,1164-5563,1778-3615,ECOLOGY - SCIE,"4,744",3.232,Q2,0.73,6.04%
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,0022-4561,1941-3300,ECOLOGY - SCIE,"5,866",3.209,Q2,0.62,1.46%
Integrative Organismal Biology,INTEGR ORGANISM BIOL,N/A,2517-4843,ZOOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE; BIOLOGY - SCIE,298,3.207,Q1,0.82,98.37%
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,0306-4565,1879-0992,ZOOLOGY - SCIE; BIOLOGY - SCIE,"7,084",3.189,Q1,1.11,4.38%
ZOOLOGICA SCRIPTA,ZOOL SCR,0300-3256,1463-6409,ZOOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"3,041",3.185,Q1,1.17,11.63%
Ecology and Evolution,ECOL EVOL,2045-7758,2045-7758,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"23,690",3.167,Q2,0.68,96.06%
Ecohydrology,ECOHYDROLOGY,1936-0584,1936-0592,ECOLOGY - SCIE,"3,962",3.166,Q2,0.67,12.34%
Zoological Letters,ZOOL LETT,2056-306X,2056-306X,ZOOLOGY - SCIE,501,3.157,Q1,1.44,100%
Animal Biotelemetry,ANIM BIOTELEM,N/A,2050-3385,ECOLOGY - SCIE,799,3.155,Q2,0.64,99.04%
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,1938-5331,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"4,634",3.153,Q2,0.85,40.35%
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,1477-2019,1478-0941,EVOLUTIONARY BIOLOGY - SCIE,"1,941",3.152,Q3,0.99,6.83%
Insects,INSECTS,N/A,2075-4450,ENTOMOLOGY - SCIE,"7,321",3.139,Q1,1.19,95.72%
AoB Plants,AOB PLANTS,2041-2851,2041-2851,ECOLOGY - SCIE,"2,973",3.138,Q2,0.78,100%
BEHAVIORAL ECOLOGY,BEHAV ECOL,1045-2249,1465-7279,ZOOLOGY - SCIE; ECOLOGY - SCIE,"11,735",3.087,Q1,1,14.47%
Arctic Science,ARCT SCI,N/A,2368-7460,ECOLOGY - SCIE,446,3.045,Q2,0.54,94.37%
ANIMAL BEHAVIOUR,ANIM BEHAV,0003-3472,1095-8282,ZOOLOGY - SCIE,"29,737",3.039,Q1,1.22,10.54%
Diversity-Basel,DIVERSITY-BASEL,N/A,1424-2818,ECOLOGY - SCIE,"3,883",3.029,Q2,0.66,95.47%
BIOMETRIKA,BIOMETRIKA,0006-3444,1464-3510,BIOLOGY - SCIE,"28,960",3.028,Q2,0.85,5.93%
JOURNAL OF COMPARATIVE NEUROLOGY,J COMP NEUROL,0021-9967,1096-9861,ZOOLOGY - SCIE,"32,298",3.028,Q1,1.13,16.39%
AMERICAN JOURNAL OF PRIMATOLOGY,AM J PRIMATOL,0275-2565,1098-2345,ZOOLOGY - SCIE,"6,090",3.014,Q1,1.19,13.31%
Ecological Complexity,ECOL COMPLEX,1476-945X,1476-9840,ECOLOGY - SCIE,"2,449",2.969,Q2,0.54,7.24%
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,0002-9483,1096-8644,EVOLUTIONARY BIOLOGY - SCIE,"14,384",2.963,Q3,1.02,13.75%
ORYX,ORYX,0030-6053,1365-3008,ECOLOGY - SCIE,"4,403",2.957,Q2,0.81,41.69%
ECOHYDROLOGY & HYDROBIOLOGY,ECOHYDROL HYDROBIOL,1642-3593,2080-3397,ECOLOGY - SCIE,"1,155",2.957,Q2,0.79,4.52%
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1042-0533,1520-6300,BIOLOGY - SCIE,"4,538",2.947,Q2,0.84,8.94%
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,0340-5443,1432-0762,ZOOLOGY - SCIE; ECOLOGY - SCIE,"14,307",2.944,Q1,0.99,27.19%
ECOTOXICOLOGY,ECOTOXICOLOGY,0963-9292,1573-3017,ECOLOGY - SCIE,"7,966",2.935,Q3,0.66,7.16%
MARINE ECOLOGY PROGRESS SERIES,MAR ECOL PROG SER,0171-8630,1616-1599,ECOLOGY - SCIE,"44,604",2.915,Q3,0.89,9.33%
HERPETOLOGICAL MONOGRAPHS,HERPETOL MONOGR,0733-1347,1938-5137,ZOOLOGY - SCIE,448,2.909,Q1,1.09,0%
LABORATORY ANIMALS,LAB ANIM-UK,0023-6772,1758-1117,ZOOLOGY - SCIE,"2,616",2.908,Q1,1.16,16.05%
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,BRAZ J MED BIOL RES,0100-879X,1414-431X,BIOLOGY - SCIE,"7,209",2.904,Q2,0.65,95.65%
ANIMAL COGNITION,ANIM COGN,1435-9448,1435-9456,ZOOLOGY - SCIE,"4,495",2.899,Q1,1.22,28.29%
