Journal.name,JIF
NATURE GENETICS,31.7
Nano-Micro Letters,31.6
MATERIALS SCIENCE & ENGINEERING R-REPORTS,31.6
Nature Reviews Endocrinology,31.0
Lancet Gastroenterology & Hepatology,30.9
Lancet Psychiatry,30.8
Physiological Reviews,29.9
Cancer Discovery,29.7
Nature Climate Change,29.6
Journal of Hematology & Oncology,29.5
Nature Reviews Rheumatology,29.4
NATURE REVIEWS NEUROSCIENCE,28.7
Advanced Powder Materials,28.6
Nature Reviews Nephrology,28.6
Annual Review of Pathology-Mechanisms of Disease,28.4
Electrochemical Energy Reviews,28.4
Nature Reviews Neurology,28.2
CELL RESEARCH,28.1
ASTRONOMY AND ASTROPHYSICS REVIEW,27.8
Cell Metabolism,27.7
Molecular Cancer,27.7
NATURE IMMUNOLOGY,27.7
ADVANCED MATERIALS,27.4
eLight,27.2
INTENSIVE CARE MEDICINE,27.1
Annual Review of Immunology,26.9
JOURNAL OF HEPATOLOGY,26.8
Nature Biomedical Engineering,26.8
Living Reviews in Relativity,26.3
Annual Review of Astronomy and Astrophysics,26.3
Science Robotics,26.1
PROGRESS IN POLYMER SCIENCE,26.0
Gastroenterology,25.7
Nature Sustainability,25.7
Immunity,25.5
Lancet Public Health,25.4
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,25.4
Annual Review of Fluid Mechanics,25.4
EUROPEAN UROLOGY,25.3
REVIEWS OF GEOPHYSICS,25.2
Advances in Optics and Photonics,25.2
JAMA Pediatrics,24.7
FUNGAL DIVERSITY,24.5
Interdisciplinary Materials,24.5
Advanced Energy Materials,24.4
Lancet Planetary Health,24.1
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,23.9
Lancet Digital Health,23.8
ACM COMPUTING SURVEYS,23.8
iMeta,23.7
Annual Review of Psychology,23.6
Nature Food,23.6
Nature Cancer,23.5
PROCEEDINGS OF THE IEEE,23.2
Advanced Composites and Hybrid Materials,23.2
GUT,23.0
Living Reviews in Solar Physics,23.0
InfoMat,22.7
JAMA Internal Medicine,22.5
JAMA Oncology,22.5
JAMA Psychiatry,22.5
EnergyChem,22.2
ENDOCRINE REVIEWS,22.0
Cellular & Molecular Immunology,21.8
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,21.7
Nature Human Behaviour,21.4
Annual Review of Public Health,21.4
Annual Review of Plant Biology,21.3
NATURE NEUROSCIENCE,21.2
Materials Today,21.1
Journal of Thoracic Oncology,21.0
BLOOD,21.0
Lancet Microbe,20.9
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,20.8
Cell Host & Microbe,20.6
Light-Science & Applications,20.6
Advanced Photonics,20.6
Nature Microbiology,20.5
JAMA Neurology,20.4
ANNALS OF THE RHEUMATIC DISEASES,20.3
COORDINATION CHEMISTRY REVIEWS,20.3
Journal of Bioresources and Bioproducts,20.2
Applied Catalysis B-Environment and Energy,20.2
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,20.1
Cancer Communications,20.1
Lancet Child & Adolescent Health,19.9
Lancet Global Health,19.9
Cell Stem Cell,19.8
ANNALS OF INTERNAL MEDICINE,19.6
Carbon Energy,19.5
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,19.3
Kidney International Supplements,19.3
ACADEMY OF MANAGEMENT REVIEW,19.3
PHARMACOLOGICAL REVIEWS,19.3
ACS Energy Letters,19.3
Nature Chemistry,19.2
Chem,19.1
CLINICAL MICROBIOLOGY REVIEWS,19.0
REPORTS ON PROGRESS IN PHYSICS,19.0
Nature Metabolism,18.9
Energy Storage Materials,18.9
Nature Machine Intelligence,18.8
Science Bulletin,18.8
SusMat,18.7
PROGRESS IN RETINAL AND EYE RESEARCH,18.6
Journal of Advanced Ceramics,18.6
ADVANCED FUNCTIONAL MATERIALS,18.5
Psychological Science in the Public Interest,18.2
Bioactive Materials,18.0
Annual Review of Clinical Psychology,17.8
Nature Physics,17.6
Science Immunology,17.6
PERIODONTOLOGY 2000,17.5
PSYCHOLOGICAL BULLETIN,17.3
Computational Visual Media,17.3
NATURE CELL BIOLOGY,17.3
Matter,17.3
TRENDS IN PLANT SCIENCE,17.3
Advanced Fiber Materials,17.2
IEEE Reviews in Biomedical Engineering,17.2
Molecular Plant,17.1
AMERICAN JOURNAL OF BIOETHICS,17.0
Nature Aging,17.0
EUROPEAN JOURNAL OF HEART FAILURE,16.9
Nature Reviews Psychology,16.8
Wiley Interdisciplinary Reviews-Computational Molecular Science,16.8
Nano Energy,16.8
INTERNATIONAL MATERIALS REVIEWS,16.8
Military Medical Research,16.7
TRENDS IN COGNITIVE SCIENCES,16.7
TRENDS IN ECOLOGY & EVOLUTION,16.7
BEHAVIORAL AND BRAIN SCIENCES,16.6
EUROPEAN RESPIRATORY JOURNAL,16.6
NUCLEIC ACIDS RESEARCH,16.6
CIRCULATION RESEARCH,16.5
NEURO-ONCOLOGY,16.4
ACCOUNTS OF CHEMICAL RESEARCH,16.4
ACTA NUMERICA,16.3
PSYCHOTHERAPY AND PSYCHOSOMATICS,16.3
National Science Review,16.3
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,16.3
IEEE Geoscience and Remote Sensing Magazine,16.2
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.1
Journal of Eastern European and Central Asian Research,1.6
Journal of Low Power Electronics and Applications,1.6
JOURNAL OF SEISMOLOGY,1.6
Journal of Thermal Science and Engineering Applications,1.6
Lymphatic Research and Biology,1.6
PACIFIC CONSERVATION BIOLOGY,1.6
TOWN PLANNING REVIEW,1.6
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,1.6
ATMOSPHERE-OCEAN,1.6
Birth Defects Research,1.6
CANADIAN JOURNAL OF PLANT PATHOLOGY,1.6
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,1.6
Central European Public Administration Review,1.6
CULTURAL GEOGRAPHIES,1.6
HEAT TRANSFER ENGINEERING,1.6
IEEE PERVASIVE COMPUTING,1.6
International Journal of Industrial Engineering Computations,1.6
IRRIGATION AND DRAINAGE,1.6
JOURNAL OF NEAR INFRARED SPECTROSCOPY,1.6
Journal of Signal Processing Systems for Signal Image and Video Technology,1.6
PLANT MOLECULAR BIOLOGY REPORTER,1.6
SOUTH AFRICAN JOURNAL OF ECONOMICS,1.6
SYNAPSE,1.6
Traffic Injury Prevention,1.6
CLINICAL EEG AND NEUROSCIENCE,1.6
Conservation & Society,1.6
ECONOMICA,1.6
Journal of Clinical Medicine Research-Canada,1.6
Journal of Electromagnetic Engineering and Science,1.6
NEUROREPORT,1.6
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,1.6
ANALYTICAL LETTERS,1.6
Biointerphases,1.6
Ethnobiology and Conservation,1.6
Journal of Mind and Medical Sciences,1.6
Journal of Transport and Land Use,1.6
Practice Periodical on Structural Design and Construction,1.6
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,1.6
Zdravstveno Varstvo,1.6
ANTICANCER RESEARCH,1.6
AUSTRAL ECOLOGY,1.6
GEMS & GEMOLOGY,1.6
Genes & Genomics,1.6
Information Security Journal,1.6
International Journal of E-Planning Research,1.6
JOURNAL OF AMBULATORY CARE MANAGEMENT,1.6
Journal of Electrical Engineering & Technology,1.6
JOURNAL OF IMMUNOLOGICAL METHODS,1.6
NETWORKS & SPATIAL ECONOMICS,1.6
Organogenesis,1.6
Cardiovascular Engineering and Technology,1.6
CHEMOECOLOGY,1.6
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,1.6
Journal of Clinical Virology Plus,1.6
Journal of Geophysics and Engineering,1.6
JOURNAL OF INTERVENTIONAL CARDIOLOGY,1.6
Journal of Medical and Biological Engineering,1.6
Journal of Property Investment & Finance,1.6
Scientific Drilling,1.6
Transplant Immunology,1.6
Accounting Perspectives,1.6
ACTA OPTICA SINICA,1.6
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,1.6
ELECTRICAL ENGINEERING,1.6
Information and Computer Security,1.6
International Journal of Breast Cancer,1.6
International Journal of Population Data Science (IJPDS),1.6
Journal of Micro-Bio Robotics,1.6
JOURNAL OF SENSORY STUDIES,1.6
MethodsX,1.6
Middle East Fertility Society Journal,1.6
Revista Portuguesa de Cardiologia,1.6
WATER INTERNATIONAL,1.6
Chinese Journal of Urban and Environmental Studies,1.6
ELECTROMAGNETIC BIOLOGY AND MEDICINE,1.6
ISIJ INTERNATIONAL,1.6
Journal of Ocean Engineering and Marine Energy,1.6
Journal of Public Mental Health,1.6
LICHENOLOGIST,1.6
NeuroSci,1.6
Team Performance Management,1.6
WETLANDS ECOLOGY AND MANAGEMENT,1.6
Archives of Endocrinology Metabolism,1.6
Asia Pacific Allergy,1.6
INTERNATIONAL JOURNAL OF CONTROL,1.6
JOURNAL OF INVASIVE CARDIOLOGY,1.6
Journal of Neuroscience Psychology and Economics,1.6
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,1.6
AQUATIC MICROBIAL ECOLOGY,1.6
ARCTIC ANTARCTIC AND ALPINE RESEARCH,1.6
International Journal of Surgical Oncology,1.6
Journal for Specialists in Group Work,1.6
Journal of Water Sanitation and Hygiene for Development,1.6
Jurnal Tribologi,1.6
MOLECULAR PHYSICS,1.6
NETWORKS,1.6
Qualitative Market Research,1.6
Water Practice and Technology,1.6
Canadian Geriatrics Journal,1.6
Technology Innovation Management Review,1.6
TRANSPORTATION RESEARCH RECORD,1.6
Collnet Journal of Scientometrics and Information Management,1.6
Iranian Journal of Medical Sciences,1.6
Journal of Advanced Concrete Technology,1.6
Journal of Aging Research,1.6
Journal of Human Capital,1.6
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,1.6
RADIO SCIENCE,1.6
Revista Espanola de Medicina Nuclear e Imagen Molecular,1.6
Romanian Journal of Internal Medicine,1.6
Statistica,1.6
Visitor Studies,1.6
CHINESE JOURNAL OF ELECTRONICS,1.6
IET Energy Systems Integration,1.6
International Journal of Innovation and Technology Management,1.6
International Journal of Intelligent Engineering Informatics,1.6
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,1.6
Toxicology and Environmental Health Sciences,1.6
Communicable Diseases Intelligence,1.6
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,1.6
International Journal of Food Engineering,1.6
International Maritime Health,1.6
Iranian Journal of Biotechnology,1.6
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,1.6
Sensor Review,1.6
Australian Journal of Civil Engineering,1.6
Canadian Pharmacists Journal,1.6
Central European Business Review,1.6
JOURNAL OF ENVIRONMENTAL ENGINEERING,1.6
Journal of Oleo Science,1.6
Journal of Superconductivity and Novel Magnetism,1.6
Biophysics and Physicobiology,1.6
Electrical Engineering & Electromechanics,1.6
Journal of Gastrointestinal Cancer,1.6
Organization Technology and Management in Construction,1.6
SOIL & SEDIMENT CONTAMINATION,1.6
Advances in Astronomy,1.6
Aerosol Science and Engineering,1.6
AIMS Environmental Science,1.6
Future Cardiology,1.6
GROWTH HORMONE & IGF RESEARCH,1.6
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,1.6
Journal of Vascular Access,1.6
MICROELECTRONICS RELIABILITY,1.6
Preventive Nutrition and Food Science,1.6
Systems Engineering,1.6
ACTA HISTOCHEMICA ET CYTOCHEMICA,1.6
Nitrogen,1.6
BIOTECHNIC & HISTOCHEMISTRY,1.6
Journal of Economics,1.6
JOURNAL OF THE CHINESE CHEMICAL SOCIETY,1.6
Transactions on Electrical and Electronic Materials,1.6
Bioelectricity,1.6
CANADIAN JOURNAL OF CHEMICAL ENGINEERING,1.6
THEORETICAL CHEMISTRY ACCOUNTS,1.6
EUROPEAN PHYSICAL JOURNAL B,1.6
Reports of Biochemistry and Molecular Biology,1.6
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,1.6
HIGH TEMPERATURE MATERIALS AND PROCESSES,1.6
SOFT MATERIALS,1.6
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,1.6
International Journal of Mycobacteriology,1.6
JOURNAL OF THE CHILEAN CHEMICAL SOCIETY,1.6
Manufacturing Technology,1.6
SURFACE AND INTERFACE ANALYSIS,1.6
Surface Science Spectra,1.6
Geomatik,1.6
JOURNAL OF SURFACTANTS AND DETERGENTS,1.6
Tribology-Materials Surfaces & Interfaces,1.6
Biosurface and Biotribology,1.6
POLYMER SCIENCE SERIES C,1.6
Wireless Power Transfer,1.6
International Journal of RF Technologies-Research and Applications,1.6
LIBRARY JOURNAL,1.6
Theory and Practice of Legislation,1.5
Nan Nu-Men Women and Gender in China,1.5
Empirical Studies of the Arts,1.5
Nations and Nationalism,1.5
Journal of Asian Public Policy,1.5
Cliometrica,1.5
REVIEW OF RELIGIOUS RESEARCH,1.5
Morphology,1.5
German Law Journal,1.5
International Journal of Cultural Studies,1.5
JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,1.5
Education for Primary Care,1.5
JOURNAL OF FIELD ARCHAEOLOGY,1.5
ENGINEERING COMPUTATIONS,1.5
Russian Journal of Linguistics,1.5
MODERN LAW REVIEW,1.5
Language Awareness,1.5
ADVANCES IN MATHEMATICS,1.5
Journal of Archaeological Science-Reports,1.5
PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,1.5
Cambridge Law Journal,1.5
JOURNAL OF AVIAN BIOLOGY,1.5
Youth Violence and Juvenile Justice,1.5
INDIANA LAW JOURNAL,1.5
Journal of International Criminal Justice,1.5
Dissertationes Mathematicae,1.5
JOURNAL OF POLITICAL ECONOMY,6.9
INTERNATIONAL JOURNAL OF FORECASTING,6.9
Financial Innovation,6.9
JOURNAL OF ECONOMIC PERSPECTIVES,6.9
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,6.9
ENGINEERING GEOLOGY,6.9
HYPERTENSION,6.9
Operations Management Research,6.9
INFORMATION SYSTEMS FRONTIERS,6.9
Blockchain-Research and Applications,6.9
IEEE Journal of Microwaves,6.9
International Journal of Coal Science & Technology,6.9
Journal of Sustainable Tourism,6.9
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,6.9
BIOMEDICINE & PHARMACOTHERAPY,6.9
MAYO CLINIC PROCEEDINGS,6.9
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,6.9
Cleaner Logistics and Supply Chain,6.9
npj Vaccines,6.9
Energy Research & Social Science,6.9
ONCOGENE,6.9
ACTA PHARMACOLOGICA SINICA,6.9
JOURNAL OF GASTROENTEROLOGY,6.9
ARCHIVES OF PHARMACAL RESEARCH,6.9
Cold Spring Harbor Perspectives in Biology,6.9
CSEE Journal of Power and Energy Systems,6.9
Genes & Diseases,6.9
BLOOD REVIEWS,6.9
MASS SPECTROMETRY REVIEWS,6.9
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,6.9
CURRENT OPINION IN CHEMICAL BIOLOGY,6.9
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,6.9
Alcohol Research-Current Reviews,6.8
REVIEW OF FINANCIAL STUDIES,6.8
JOURNAL OF INTERACTIVE MARKETING,6.8
Annual Review of Economics,6.8
JOURNAL OF MEDICINAL CHEMISTRY,6.8
BRIEFINGS IN BIOINFORMATICS,6.8
IEEE NETWORK,6.8
METABOLIC ENGINEERING,6.8
FOOD POLICY,6.8
BRITISH JOURNAL OF PHARMACOLOGY,6.8
Journal of Ginseng Research,6.8
JOURNAL OF MEDICAL VIROLOGY,6.8
Annals of the American Thoracic Society,6.8
Plant Stress,6.8
npj Precision Oncology,6.8
Journal of Purchasing and Supply Management,6.8
Diabetes & Metabolism Journal,6.8
Journal of Xenobiotics,6.8
Science China-Materials,6.8
International Journal of Bioprinting,6.8
Child and Adolescent Mental Health,6.8
Advanced Intelligent Systems,6.8
Wiley Interdisciplinary Reviews-Water,6.8
Geochemical Perspectives,6.8
Journal of the American Nutrition Association,6.8
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,6.7
Smart Learning Environments,6.7
IEEE Transactions on Network Science and Engineering,6.7
PHYTOMEDICINE,6.7
IEEE Journal of Biomedical and Health Informatics,6.7
npj Parkinsons Disease,6.7
European Heart Journal-Cardiovascular Imaging,6.7
ANALYTICAL CHEMISTRY,6.7
Current Opinion in Environmental Science & Health,6.7
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,6.7
GASTROINTESTINAL ENDOSCOPY,6.7
Journal of Tissue Engineering,6.7
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,6.7
JOURNAL OF CARDIAC FAILURE,6.7
DECISION SUPPORT SYSTEMS,6.7
Journal of Building Engineering,6.7
R & D MANAGEMENT,6.7
Computers & Industrial Engineering,6.7
International Journal of Optomechatronics,6.7
MEDICAL JOURNAL OF AUSTRALIA,6.7
Environmental Technology & Innovation,6.7
Science Signaling,6.7
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,6.7
Materials Today Chemistry,6.7
CLINICAL SCIENCE,6.7
PROGRESS IN NEUROBIOLOGY,6.7
Patterns,6.7
Fuel,6.7
Journal of Science-Advanced Materials and Devices,6.7
TRANSACTIONS OF TIANJIN UNIVERSITY,6.7
ACS Environmental Au,6.7
ECONOMETRICA,6.6
FERTILITY AND STERILITY,6.6
Photonics Research,6.6
GENETICS IN MEDICINE,6.6
EPILEPSIA,6.6
Journal of Knowledge Management,6.6
npj Quantum Information,6.6
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,6.6
IEEE TRANSACTIONS ON POWER ELECTRONICS,6.6
Health Psychology Review,6.6
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,6.6
NEUROPSYCHOPHARMACOLOGY,6.6
Journal of Behavioral Addictions,6.6
ECOLOGICAL ECONOMICS,6.6
CLINICAL NUTRITION,6.6
Cell Chemical Biology,6.6
Evidence-Based Mental Health,6.6
RESPIROLOGY,6.6
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,6.6
International Journal of Nanomedicine,6.6
ENERGY AND BUILDINGS,6.6
Journal of Genetics and Genomics,6.6
International Journal of Neural Systems,6.6
npj Materials Degradation,6.6
Current Opinion in Environmental Sustainability,6.6
APL Bioengineering,6.6
Journal of Hazardous Materials Letters,6.6
CURRENT OPINION IN IMMUNOLOGY,6.6
Big Data & Society,6.5
SOCIOLOGICAL METHODS & RESEARCH,6.5
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,6.5
DRUG DELIVERY,6.5
RESUSCITATION,6.5
PLANT PHYSIOLOGY,6.5
Molecular Therapy Nucleic Acids,6.5
INFORMATION SYSTEMS JOURNAL,6.5
Circulation-Cardiovascular Imaging,6.5
IEEE TRANSACTIONS ON POWER SYSTEMS,6.5
HABITAT INTERNATIONAL,6.5
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,6.5
AMERICAN JOURNAL OF CLINICAL NUTRITION,6.5
Deutsches Arzteblatt International,6.5
STRATEGIC MANAGEMENT JOURNAL,6.5
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,6.5
SMALL BUSINESS ECONOMICS,6.5
Food Chemistry-X,6.5
ACS Photonics,6.5
Case Studies in Construction Materials,6.5
npj Breast Cancer,6.5
JOURNAL OF OPERATIONS MANAGEMENT,6.5
OncoImmunology,6.5
Frontiers of Physics,6.5
ADVANCES IN ATMOSPHERIC SCIENCES,6.5
PROGRESS IN ORGANIC COATINGS,6.5
Georisk-Assessment and Management of Risk for Engineered Systems and Geohazards,6.5
Nanophotonics,6.5
Sensors and Actuators Reports,6.5
Composites Communications,6.5
EMBO REPORTS,6.5
JOURNAL OF CATALYSIS,6.5
FRONTIERS IN NEUROENDOCRINOLOGY,6.5
DRUG DISCOVERY TODAY,6.5
Advanced Sustainable Systems,6.5
Biotechnology and Genetic Engineering Reviews,6.5
NEW CARBON MATERIALS,6.5
Internet and Higher Education,6.4
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,6.4
Translational Research,6.4
JOURNAL OF HEART AND LUNG TRANSPLANTATION,6.4
POSTHARVEST BIOLOGY AND TECHNOLOGY,6.4
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,6.4
eLife,6.4
Science China-Physics Mechanics & Astronomy,6.4
Soft Robotics,6.4
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,6.4
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,6.4
BRITISH JOURNAL OF CANCER,6.4
Case Studies in Thermal Engineering,6.4
Current Pollution Reports,6.4
Machine Intelligence Research,6.4
npj Regenerative Medicine,6.4
Reviews in Fisheries Science & Aquaculture,6.4
Advances in Climate Change Research,6.4
International Review of Sport and Exercise Psychology,6.4
Agronomy for Sustainable Development,6.4
Advanced Materials Technologies,6.4
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,6.4
Carbon Resources Conversion,6.4
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,6.4
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,6.4
Wiley Interdisciplinary Reviews-RNA,6.4
Annual Review of Criminology,6.3
Communication Methods and Measures,6.3
PROGRESS IN HUMAN GEOGRAPHY,6.3
Journal of Animal Science and Biotechnology,6.3
Burns & Trauma,6.3
Borsa Istanbul Review,6.3
Information Technology & Tourism,6.3
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,6.3
ISA TRANSACTIONS,6.3
Research in International Business and Finance,6.3
CALIFORNIA MANAGEMENT REVIEW,6.3
JCI Insight,6.3
American Economic Journal-Macroeconomics,6.3
Transport Policy,6.3
Travel Medicine and Infectious Disease,6.3
GLOBAL ECOLOGY AND BIOGEOGRAPHY,6.3
IEEE Transactions on Information Forensics and Security,6.3
Methods in Ecology and Evolution,6.3
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,6.3
International Journal of Stroke,6.3
CLINICAL PHARMACOLOGY & THERAPEUTICS,6.3
European Journal for Philosophy of Science,1.5
Journal of Asian Architecture and Building Engineering,1.5
Journal of Language Identity and Education,1.5
EUROPEAN JOURNAL OF MIGRATION AND LAW,1.5
Lithic Technology,1.5
CRITIQUE OF ANTHROPOLOGY,1.5
JOURNAL OF INEQUALITIES AND APPLICATIONS,1.5
FOREIGN LANGUAGE ANNALS,1.5
Birds,1.5
International Journal of Applied Linguistics,1.5
Journal of Industrial and Business Economics,1.5
Reading & Writing Quarterly,1.5
Economic and Political Studies-EPS,1.5
International Journal of Developmental Disabilities,1.5
Journal of Intellectual Disabilities,1.5
JOURNAL OF SOCIOLINGUISTICS,1.5
Media International Australia,1.5
Open House International,1.5
Journal for Cultural Research,1.5
JOURNAL OF EARLY INTERVENTION,1.5
BIRD CONSERVATION INTERNATIONAL,1.5
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,1.5
Classroom Discourse,1.5
JOURNAL OF MAMMALOGY,1.5
Quarterly Journal of Political Science,1.5
Advances in Differential Equations,1.5
AUSTRALIAN JOURNAL OF EDUCATION,1.5
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1.5
Asian-Pacific Journal of Second and Foreign Language Education,1.5
International Journal of Research & Method in Education,1.5
JOURNAL OF MORPHOLOGY,1.5
MARINE MICROPALEONTOLOGY,1.5
Ichthyology and Herpetology,1.5
International Peacekeeping,1.5
Teoria de la Educacion,1.5
Journal of Vertebrate Biology,1.5
Asian Journal of Communication,1.5
International Review of Victimology,1.5
Language Learning and Development,1.5
ZOOLOGICAL STUDIES,1.5
Cogent Education,1.5
INTERNATIONAL INTERACTIONS,1.5
Journal of International Education in Business,1.5
JOURNAL OF MICROSCOPY,1.5
JOURNAL OF ORTHOPAEDIC SCIENCE,1.5
WOMENS STUDIES INTERNATIONAL FORUM,1.5
Journal of Veterinary Cardiology,1.5
Medical Anthropology,1.5
POLITICAL RESEARCH QUARTERLY,1.5
BERNOULLI,1.5
Journal of Veterinary Science,1.5
MEDICINE SCIENCE AND THE LAW,1.5
SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,1.5
EVALUATION AND PROGRAM PLANNING,1.5
GEODIVERSITAS,1.5
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,1.5
Journal of Statistics and Data Science Education,1.5
PROBABILITY THEORY AND RELATED FIELDS,1.5
SURVIVAL,1.5
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,1.5
Journal of Criminology,1.5
JOURNAL OF FORENSIC SCIENCES,1.5
Microscopy,1.5
SOCIAL SERVICE REVIEW,1.5
AMERICAN JOURNAL OF PERINATOLOGY,1.5
CARNETS DE GEOLOGIE,1.5
Journal of Adventure Education and Outdoor Learning,1.5
QUALITY ASSURANCE IN EDUCATION,1.5
Zeitschrift fur Erziehungswissenschaft,1.5
Arthropod Systematics & Phylogeny,1.5
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,1.5
Economic and Labour Relations Review,1.5
Frontiers in Communication,1.5
Journal of Social Work,1.5
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,1.5
International Relations,1.5
STATISTICA SINICA,1.5
GMS Journal for Medical Education,1.5
International Journal of Mentoring and Coaching in Education,1.5
Local and Regional Anesthesia,1.5
PALAIOS,1.5
Physiotherapy Research International,1.5
APHASIOLOGY,1.5
