journalname,IF
Annual Review of Psychology,41.8
Annual Review of Psychology,41.8
CIRCULATION,41.3
CIRCULATION,41.3
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,41.3
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,41.3
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,41.3
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,41.3
JOURNAL OF HEPATOLOGY,40.1
Annual Review of Immunology,39.8
Innovation,39.5
Lancet Gastroenterology & Hepatology,39.1
Nature Reviews Endocrinology,39.1
International Journal of Educational Technology in Higher Education,38.7
Nano-Micro Letters,38.5
Nano-Micro Letters,38.5
Nano-Micro Letters,38.5
REVIEWS OF GEOPHYSICS,38.5
Nature Photonics,38.1
Nature Photonics,38.1
NATURE MATERIALS,38.0
NATURE MATERIALS,38.0
NATURE MATERIALS,38.0
NATURE MATERIALS,38.0
Nature Nanotechnology,37.5
Nature Nanotechnology,37.5
Annual Review of Astronomy and Astrophysics,37.3
Joule,37.1
Joule,37.1
Joule,37.1
Cell Metabolism,37.0
Cell Metabolism,37.0
Foundations and Trends in Machine Learning,36.6
Lancet Diabetes & Endocrinology,36.3
Physiological Reviews,35.7
Nature Reviews Electrical Engineering,34.8
Lancet Respiratory Medicine,34.7
Lancet Respiratory Medicine,34.7
Annual Review of Pathology-Mechanisms of Disease,34.5
LANCET ONCOLOGY,33.7
Nature Reviews Rheumatology,33.7
PROGRESS IN POLYMER SCIENCE,32.8
Molecular Plant,32.7
Molecular Plant,32.7
Nature Sustainability,32.1
Nature Sustainability,32.1
Nature Sustainability,32.1
eLight,31.4
Nature Reviews Neurology,31.2
CELL RESEARCH,31.1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,31.0
PROCEEDINGS OF THE IEEE,30.9
Nature Water,30.7
Nature Water,30.7
Immunity,30.6
Energy & Environmental Science,30.5
Energy & Environmental Science,30.5
Energy & Environmental Science,30.5
Energy & Environmental Science,30.5
ACM COMPUTING SURVEYS,30.4
Exploration,30.4
Exploration,30.4
Exploration,30.4
Advances in Optics and Photonics,30.1
Nature Machine Intelligence,29.8
Nature Machine Intelligence,29.8
Gastroenterology,29.7
Nature Chemical Engineering,29.7
Cancer Discovery,29.5
Lancet Rheumatology,29.5
LANCET INFECTIOUS DISEASES,29.4
Living Reviews in Solar Physics,29.4
EUROPEAN UROLOGY,29.1
ADVANCED MATERIALS,29.1
ADVANCED MATERIALS,29.1
ADVANCED MATERIALS,29.1
ADVANCED MATERIALS,29.1
ADVANCED MATERIALS,29.1
ADVANCED MATERIALS,29.1
Military Medical Research,29.0
NATURE REVIEWS NEUROSCIENCE,29.0
Annual Review of Condensed Matter Physics,29.0
Cancer Communications,28.4
NATURE METHODS,28.3
Nature Cancer,28.0
Nature Metabolism,27.5
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,27.5
FUNGAL DIVERSITY,27.0
Nature Climate Change,26.9
Nature Climate Change,26.9
Nature Climate Change,26.9
Opto-Electronic Science,26.9
Advanced Powder Materials,26.8
Advanced Powder Materials,26.8
Lancet Public Health,26.5
NATURE IMMUNOLOGY,26.5
Annual Review of Plant Biology,26.4
JAMA Internal Medicine,26.3
Nature Biomedical Engineering,26.3
Annual Review of Fluid Mechanics,26.1
Annual Review of Fluid Mechanics,26.1
COORDINATION CHEMISTRY REVIEWS,25.6
NATURE GENETICS,25.5
Science Robotics,25.5
Lancet Digital Health,25.5
Lancet Digital Health,25.5
Advanced Energy Materials,25.5
Advanced Energy Materials,25.5
Advanced Energy Materials,25.5
Advanced Energy Materials,25.5
Advanced Energy Materials,25.5
TRENDS IN CELL BIOLOGY,25.3
Journal of the National Cancer Center,25.2
Environmental Chemistry Letters,25.2
Environmental Chemistry Letters,25.2
Environmental Chemistry Letters,25.2
International Journal of Extreme Manufacturing,25.1
International Journal of Extreme Manufacturing,25.1
Nature Aging,25.0
Nature Aging,25.0
Nature Aging,25.0
Annual Review of Biochemistry,24.9
Nature Food,24.7
GUT,24.6
Nature Chemistry,24.5
PROGRESS IN AEROSPACE SCIENCES,24.2
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,24.1
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,24.1
Materials Today,24.1
ANNALS OF THE RHEUMATIC DISEASES,24.0
Light-Science & Applications,24.0
TRENDS IN PHARMACOLOGICAL SCIENCES,24.0
JAMA Oncology,23.9
BLOOD,23.9
Cellular & Molecular Immunology,23.9
ENDOCRINE REVIEWS,23.9
EUROPEAN RESPIRATORY JOURNAL,23.8
ADVANCES IN COLLOID AND INTERFACE SCIENCE,23.7
JAMA Neurology,23.6
Bioactive Materials,23.6
Bioactive Materials,23.6
Computers and Education: Artificial Intelligence,23.4
Computers and Education: Artificial Intelligence,23.4
Computers and Education: Artificial Intelligence,23.4
Journal of Thoracic Oncology,23.3
Journal of Thoracic Oncology,23.3
Cell Stem Cell,23.3
Cell Stem Cell,23.3
Cell Host & Microbe,23.2
Cell Host & Microbe,23.2
Cell Host & Microbe,23.2
Responsive Materials,22.9
Responsive Materials,22.9
NATURE CELL BIOLOGY,22.7
Advanced Fiber Materials,22.6
Advanced Fiber Materials,22.6
DIABETES CARE,22.6
Nature Synthesis,22.6
CANCER RESEARCH,22.6
Nano Research Energy,22.6
Nano Research Energy,22.6
Lancet Global Health,22.5
Annual Review of Marine Science,22.5
Annual Review of Marine Science,22.5
Annual Review of Marine Science,22.5
Interdisciplinary Materials,22.5
Interdisciplinary Materials,22.5
Interdisciplinary Materials,22.5
Opto-Electronic Advances,22.4
JACC-Journal of the American College of Cardiology,22.3
DRUG RESISTANCE UPDATES,22.0
Nature Reviews Psychology,22.0
INTENSIVE CARE MEDICINE,22.0
Lancet Microbe,21.9
Lancet Microbe,21.9
KIDNEY INTERNATIONAL,21.8
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,21.7
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,21.7
Clinical and Molecular Hepatology,21.7
Journal of Extracellular Vesicles,21.7
Trends in Cancer,21.6
Green Energy and Intelligent Transportation,21.5
Carbon Neutralization,21.5
Carbon Neutralization,21.5
Carbon Energy,21.4
Carbon Energy,21.4
Carbon Energy,21.4
Carbon Energy,21.4
TRENDS IN PLANT SCIENCE,21.2
Lancet Psychiatry,21.1
MATERIALS SCIENCE & ENGINEERING R-REPORTS,21.1
MATERIALS SCIENCE & ENGINEERING R-REPORTS,21.1
ADVANCED DRUG DELIVERY REVIEWS,21.0
Cyborg and Bionic Systems,20.9
Cyborg and Bionic Systems,20.9
Science Bulletin,20.7
CLINICAL MICROBIOLOGY REVIEWS,20.7
Nature Geoscience,20.6
Lancet Planetary Health,20.5
Lancet Planetary Health,20.5
Lancet Healthy Longevity,20.5
Nano Materials Science,20.5
Nano Materials Science,20.5
Lancet Haematology,20.4
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,20.4
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,20.4
EnergyChem,20.4
EnergyChem,20.4
EnergyChem,20.4
EnergyChem,20.4
NATURE NEUROSCIENCE,20.3
SEMINARS IN CANCER BIOLOGY,20.3
Nature Computational Science,20.3
Nature Computational Science,20.3
Nature Computational Science,20.3
Annual Review of Physiology,20.3
TRENDS IN COGNITIVE SCIENCES,20.3
TRENDS IN COGNITIVE SCIENCES,20.3
TRENDS IN COGNITIVE SCIENCES,20.3
PHARMACOLOGICAL REVIEWS,20.3
HUMAN REPRODUCTION UPDATE,20.1
HUMAN REPRODUCTION UPDATE,20.1
Bone Research,20.1
Radiology-Artificial Intelligence,20.1
Radiology-Artificial Intelligence,20.1
ASTRONOMY AND ASTROPHYSICS REVIEW,20.1
TRENDS IN ENDOCRINOLOGY AND METABOLISM,20.1
Mycosphere,19.9
Journal of Bioresources and Bioproducts,19.9
PSYCHOLOGICAL BULLETIN,19.9
PSYCHOLOGICAL BULLETIN,19.9
ADVANCED FUNCTIONAL MATERIALS,19.9
ADVANCED FUNCTIONAL MATERIALS,19.9
ADVANCED FUNCTIONAL MATERIALS,19.9
ADVANCED FUNCTIONAL MATERIALS,19.9
ADVANCED FUNCTIONAL MATERIALS,19.9
ADVANCED FUNCTIONAL MATERIALS,19.9
Applied Catalysis B-Environment and Energy,19.7
Applied Catalysis B-Environment and Energy,19.7
Applied Catalysis B-Environment and Energy,19.7
Molecular Neurodegeneration,19.6
InfoMat,19.6
Advanced Photonics,19.5
Energy Storage Materials,19.3
Energy Storage Materials,19.3
Energy Storage Materials,19.3
SusMat,19.2
SusMat,19.2
SusMat,19.2
Journal of Nanostructure in Chemistry,19.2
Journal of Nanostructure in Chemistry,19.2
Journal of Nanostructure in Chemistry,19.2
Translational Neurodegeneration,19.1
Chem,19.1
Applied Mechanics Reviews,19.1
JACC-Cardiovascular Imaging,19.0
JACC-Cardiovascular Imaging,19.0
Annual Review of Pharmacology and Toxicology,19.0
Annual Review of Pharmacology and Toxicology,19.0
Annual Review of Medicine,18.8
ARTIFICIAL INTELLIGENCE REVIEW,18.8
Nature Microbiology,18.7
eTransportation,18.7
eTransportation,18.7
eTransportation,18.7
TRENDS IN MICROBIOLOGY,18.7
TRENDS IN MICROBIOLOGY,18.7
Annual Review of Clinical Psychology,18.6
Annual Review of Clinical Psychology,18.6
Autophagy,18.6
Nature Protocols,18.4
Advanced Industrial and Engineering Polymer Research,18.4
Advanced Industrial and Engineering Polymer Research,18.4
Advanced Industrial and Engineering Polymer Research,18.4
STUDIES IN MYCOLOGY,18.3
IEEE-CAA Journal of Automatica Sinica,18.3
Advances in Applied Energy,18.3
Protein & Cell,18.2
Nature Communications,18.1
National Science Review,18.1
PROGRESS IN LIPID RESEARCH,18.1
PROGRESS IN LIPID RESEARCH,18.1
TRENDS IN MOLECULAR MEDICINE,18.1
TRENDS IN MOLECULAR MEDICINE,18.1
TRENDS IN MOLECULAR MEDICINE,18.1
Nature Physics,18.0
JAMA Psychiatry,18.0
PhotoniX,18.0
CIRCULATION RESEARCH,18.0
CIRCULATION RESEARCH,18.0
CIRCULATION RESEARCH,18.0
npj Digital Medicine,18.0
npj Digital Medicine,18.0
Academy of Management Annals,18.0
Academy of Management Annals,18.0
HEPATOLOGY,18.0
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,18.0
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,18.0
ACCOUNTS OF CHEMICAL RESEARCH,18.0
Smart Learning Environments,17.9
TRENDS IN ECOLOGY & EVOLUTION,17.9
TRENDS IN ECOLOGY & EVOLUTION,17.9
TRENDS IN ECOLOGY & EVOLUTION,17.9
PERIODONTOLOGY 2000,17.8
Psychological Science in the Public Interest,17.6
AMERICAN JOURNAL OF BIOETHICS,17.6
AMERICAN JOURNAL OF BIOETHICS,17.6
AMERICAN JOURNAL OF BIOETHICS,17.6
AMERICAN JOURNAL OF BIOETHICS,17.6
International Journal of Oral Science,17.6
RADIOLOGY,17.6
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,17.6
Nature Human Behaviour,17.5
Nature Human Behaviour,17.5
Nature Human Behaviour,17.5
Journal of the National Comprehensive Cancer Network,17.5
ACS Energy Letters,17.5
ACS Energy Letters,17.5
ACS Energy Letters,17.5
ACS Energy Letters,17.5
ACS Energy Letters,17.5
Experimental Hematology & Oncology,17.5
Experimental Hematology & Oncology,17.5
EXPERIMENTAL AND MOLECULAR MEDICINE,17.5
EXPERIMENTAL AND MOLECULAR MEDICINE,17.5
Computer Science Review,17.5
Computer Science Review,17.5
Computer Science Review,17.5
Information Fusion,17.4
Information Fusion,17.4
TRENDS IN FOOD SCIENCE & TECHNOLOGY,17.4
Energy Material Advances,17.4
ACS Nano,17.3
ACS Nano,17.3
ACS Nano,17.3
ACS Nano,17.3
ANNALS OF INTERNAL MEDICINE,17.2
Annual Review of Public Health,17.2
Chinese Journal of Catalysis,17.2
Chinese Journal of Catalysis,17.2
Chinese Journal of Catalysis,17.2
BMEMat,17.2
BMEMat,17.2
JAMA Pediatrics,17.1
Nature Ecology & Evolution,17.1
Nature Ecology & Evolution,17.1
Journal of Advanced Research,17.1
Current Obesity Reports,17.0
Current Obesity Reports,17.0
INTERNATIONAL MATERIALS REVIEWS,17.0
Neuron,16.9
Annual Review of Entomology,16.9
Cell Discovery,16.9
FEMS MICROBIOLOGY REVIEWS,16.9
Physical Review X,16.8
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,16.8
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,16.8
Journal of Materials Science & Technology,16.8
Journal of Materials Science & Technology,16.8
Smart Molecules,16.8
METABOLISM-CLINICAL AND EXPERIMENTAL,16.7
Nano Energy,16.7
Nano Energy,16.7
Nano Energy,16.7
Nano Energy,16.7
Green Energy & Environment,16.7
Green Energy & Environment,16.7
Green Energy & Environment,16.7
Green Energy & Environment,16.7
Journal of the American Chemical Society,16.6
TRENDS IN BIOTECHNOLOGY,16.6
Energy Reviews,16.5
Energy Reviews,16.5
Science Immunology,16.4
Biomedical Technology,16.4
Biomedical Technology,16.4
Annual Review of Environment and Resources,16.3
Annual Review of Environment and Resources,16.3
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,16.2
PROGRESS IN RETINAL AND EYE RESEARCH,16.2
Redox Biology,16.2
Clinical Gastroenterology and Hepatology,16.2
Materials Reports: Energy,16.2
Materials Reports: Energy,16.2
Materials Reports: Energy,16.2
Artificial Intelligence in Agriculture,16.1
Artificial Intelligence in Agriculture,16.1
Molecular Cell,16.0
Molecular Cell,16.0
IEEE Reviews in Biomedical Engineering,16.0
International Journal of Mining Science and Technology,15.9
AMERICAN JOURNAL OF PSYCHIATRY,15.9
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,15.9
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,15.9
Biogeotechnics,15.9
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,15.9
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,15.9
Soft Science,15.9
Nature Chemical Biology,15.8
Journal of Magnesium and Alloys,15.8
Journal of Magnesium and Alloys,15.8
Lancet Regional Health-Europe,15.7
Lancet Regional Health-Europe,15.7
Matter,15.7
TRENDS IN NEUROSCIENCES,15.7
Industrial Chemistry & Materials,15.7
Industrial Chemistry & Materials,15.7
JAMA Surgery,15.6
Cardiovascular Diabetology,15.6
Cardiovascular Diabetology,15.6
Science Translational Medicine,15.6
Science Translational Medicine,15.6
Journal of Energy Chemistry,15.6
Journal of Energy Chemistry,15.6
Journal of Energy Chemistry,15.6
Journal of Energy Chemistry,15.6
Annual Review of Earth and Planetary Sciences,15.6
Annual Review of Earth and Planetary Sciences,15.6
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,15.6
BRITISH JOURNAL OF SPORTS MEDICINE,15.5
JACC: CardioOncology,15.5
JACC: CardioOncology,15.5
Advanced Composites and Hybrid Materials,15.5
Advanced Composites and Hybrid Materials,15.5
One Earth,15.5
One Earth,15.5
One Earth,15.5
AGEING RESEARCH REVIEWS,15.5
AGEING RESEARCH REVIEWS,15.5
INTERNATIONAL JOURNAL OF PLASTICITY,15.4
INTERNATIONAL JOURNAL OF PLASTICITY,15.4
INTERNATIONAL JOURNAL OF PLASTICITY,15.4
npj Flexible Electronics,15.4
npj Flexible Electronics,15.4
REPORTS ON PROGRESS IN PHYSICS,15.4
Annual Review of Food Science and Technology,15.4
International Journal of Network Dynamics and Intelligence,15.3
Gut Microbes,15.3
Gut Microbes,15.3
Nature Cities,15.3
Nature Cities,15.3
Nature Cities,15.3
IEEE TRANSACTIONS ON IMAGE PROCESSING,15.3
IEEE TRANSACTIONS ON IMAGE PROCESSING,15.3
NEW ASTRONOMY REVIEWS,15.2
JAMA Cardiology,15.2
Nature Astronomy,15.2
Electron,15.2
Electron,15.2
Biochar,15.1
Biochar,15.1
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,15.1
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,15.1
Nature Plants,15.0
NUCLEIC ACIDS RESEARCH,15.0
JOURNAL OF NANOBIOTECHNOLOGY,15.0
JOURNAL OF NANOBIOTECHNOLOGY,15.0
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,15.0
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,15.0
Microbiome,14.9
Theranostics,14.9
JOURNAL OF MANUFACTURING SYSTEMS,14.9
JOURNAL OF MANUFACTURING SYSTEMS,14.9
JOURNAL OF MANUFACTURING SYSTEMS,14.9
DRUGS,14.7
DRUGS,14.7
Foundations and Trends in Computer Graphics and Vision,14.7
ACS Measurement Science Au,14.7
Advances in Methods and Practices in Psychological Science,14.6
Advances in Methods and Practices in Psychological Science,14.6
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,14.6
Acta Pharmaceutica Sinica B,14.6
Lancet HIV,14.6
Lancet HIV,14.6
Biomarker Research,14.6
Biomarker Research,14.6
Genes & Diseases,14.6
Genes & Diseases,14.6
Annual Review of Control Robotics and Autonomous Systems,14.6
Annual Review of Control Robotics and Autonomous Systems,14.6
PHYSIOLOGY,14.6
Annual Review of Materials Research,14.6
Tourism Management,14.5
Tourism Management,14.5
Tourism Management,14.5
Interdisciplinary Medicine,14.5
JOURNAL OF BIOMEDICAL SCIENCE,14.5
JOURNAL OF BIOMEDICAL SCIENCE,14.5
Aggregate,14.5
Aggregate,14.5
Aggregate,14.5
CEMENT & CONCRETE COMPOSITES,14.4
CEMENT & CONCRETE COMPOSITES,14.4
TRENDS IN BIOCHEMICAL SCIENCES,14.4
ANNUAL REVIEWS IN CONTROL,14.4
Journal of Statistical Software,14.3
Journal of Statistical Software,14.3
JOURNAL OF CLINICAL INVESTIGATION,14.3
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,14.3
Environmental Science and Ecotechnology,14.3
Environmental Science and Ecotechnology,14.3
SmartMat,14.3
SmartMat,14.3
Green Carbon,14.2
Green Carbon,14.2
Acta Ecologica Sinica,14.2
Accounts of Materials Research,14.1
Accounts of Materials Research,14.1
Advanced Science,14.1
Advanced Science,14.1
Advanced Science,14.1
MedComm,14.1
BIOTECHNOLOGY ADVANCES,14.1
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,14.1
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,14.1
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,14.1
Journal of Advanced Ceramics,14.0
Journal of Innovation & Knowledge,14.0
Journal of Innovation & Knowledge,14.0
COMPOSITES PART B-ENGINEERING,14.0
COMPOSITES PART B-ENGINEERING,14.0
MEDICAL IMAGE ANALYSIS,14.0
MEDICAL IMAGE ANALYSIS,14.0
MEDICAL IMAGE ANALYSIS,14.0
MEDICAL IMAGE ANALYSIS,14.0
Cell Reports Medicine,14.0
Cell Reports Medicine,14.0
CEMENT AND CONCRETE RESEARCH,14.0
CEMENT AND CONCRETE RESEARCH,14.0
JMIR Medical Education,13.9
Science Advances,13.9
Materials Genome Engineering Advances,13.9
International Journal for Educational Integrity,13.8
Oeconomia Copernicana,13.8
ACADEMY OF MANAGEMENT REVIEW,13.8
ACADEMY OF MANAGEMENT REVIEW,13.8
FOOD HYDROCOLLOIDS,13.8
FOOD HYDROCOLLOIDS,13.8
Blood Cancer Journal,13.8
Blood Cancer Journal,13.8
Protection and Control of Modern Power Systems,13.8
Protection and Control of Modern Power Systems,13.8
Annual Review of Neuroscience,13.8
Energy & Environmental Materials,13.8
Energy & Environmental Materials,13.8
Reviews in Aquaculture,13.8
MOLECULAR ASPECTS OF MEDICINE,13.8
MOLECULAR ASPECTS OF MEDICINE,13.8
Nano Convergence,13.8
Nano Convergence,13.8
Nano Convergence,13.8
PROGRESS IN REACTION KINETICS AND MECHANISM,13.8
IEEE Geoscience and Remote Sensing Magazine,13.7
IEEE Geoscience and Remote Sensing Magazine,13.7
IEEE Geoscience and Remote Sensing Magazine,13.7
Journal of Retailing and Consumer Services,13.7
Plant Communications,13.7
Plant Communications,13.7
RELIABILITY ENGINEERING & SYSTEM SAFETY,13.7
RELIABILITY ENGINEERING & SYSTEM SAFETY,13.7
Nature Reviews Urology,13.6
Earth System Science Data,13.6
Earth System Science Data,13.6
BIOMATERIALS,13.6
BIOMATERIALS,13.6
CELL DEATH AND DIFFERENTIATION,13.6
CELL DEATH AND DIFFERENTIATION,13.6
npj Antimicrobials and Resistance,13.6
npj Antimicrobials and Resistance,13.6
ACS Catalysis,13.6
MEDICINAL RESEARCH REVIEWS,13.6
MEDICINAL RESEARCH REVIEWS,13.6
Energy Economics,13.5
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,13.5
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,13.5
PLANT CELL,13.5
PLANT CELL,13.5
PLANT CELL,13.5
Journal of Supply Chain Management,13.5
Food Engineering Reviews,13.5
PHARMACOLOGY & THERAPEUTICS,13.5
ACTA PHYSICO-CHIMICA SINICA,13.5
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,13.5
Lancet Child & Adolescent Health,13.4
COMPUTATIONAL LINGUISTICS,13.4
COMPUTATIONAL LINGUISTICS,13.4
COMPUTATIONAL LINGUISTICS,13.4
COMPUTATIONAL LINGUISTICS,13.4
IEEE WIRELESS COMMUNICATIONS,13.4
IEEE WIRELESS COMMUNICATIONS,13.4
IEEE WIRELESS COMMUNICATIONS,13.4
IEEE WIRELESS COMMUNICATIONS,13.4
Eco-Environment & Health,13.4
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,13.4
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,13.4
CYTOKINE & GROWTH FACTOR REVIEWS,13.4
CYTOKINE & GROWTH FACTOR REVIEWS,13.4
Med,13.3
Meta-Radiology,13.3
Meta-Radiology,13.3
Meta-Radiology,13.3
Sustainable Cities and Society,13.3
Sustainable Cities and Society,13.3
Sustainable Cities and Society,13.3
Smart Materials in Manufacturing,13.3
Annual Review of Nutrition,13.3
COMPUTERS & EDUCATION,13.2
COMPUTERS & EDUCATION,13.2
Business Strategy and the Environment,13.2
Business Strategy and the Environment,13.2
Business Strategy and the Environment,13.2
Carbohydrate Polymers,13.2
Carbohydrate Polymers,13.2
Carbohydrate Polymers,13.2
Annual Review of Phytopathology,13.2
QUARTERLY JOURNAL OF ECONOMICS,13.1
Journal of Sport and Health Science,13.1
Journal of Sport and Health Science,13.1
NEURO-ONCOLOGY,13.1
NEURO-ONCOLOGY,13.1
npj Computational Materials,13.1
npj Computational Materials,13.1
TRENDS IN IMMUNOLOGY,13.1
Annual Review of Chemical and Biomolecular Engineering,13.1
Annual Review of Chemical and Biomolecular Engineering,13.1
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,13.0
ACM TRANSACTIONS ON GRAPHICS,13.0
npj Aging,13.0
Molecular Biomedicine,13.0
Molecular Biomedicine,13.0
Molecular Biomedicine,13.0
TECHNOLOGY IN SOCIETY,12.9
TECHNOLOGY IN SOCIETY,12.9
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.9
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.9
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.9
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.9
Annual Review of Biophysics,12.9
Research,12.9
TRENDS IN GENETICS,12.9
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,12.9
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,12.9
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,12.9
Annual Review of Ecology Evolution and Systematics,12.9
Annual Review of Ecology Evolution and Systematics,12.9
ACTA NUMERICA,12.8
JOURNAL OF ECONOMIC LITERATURE,12.8
Alzheimers & Dementia,12.8
EClinicalMedicine,12.8
ACADEMY OF MANAGEMENT JOURNAL,12.8
ACADEMY OF MANAGEMENT JOURNAL,12.8
PLANT BIOTECHNOLOGY JOURNAL,12.8
PLANT BIOTECHNOLOGY JOURNAL,12.8
WATER RESEARCH,12.8
WATER RESEARCH,12.8
WATER RESEARCH,12.8
Smart Medicine,12.8
Smart Medicine,12.8
Journal of Road Engineering,12.8
Journal of Road Engineering,12.8
JACC-Cardiovascular Interventions,12.7
Geoscience Frontiers,12.7
Communications in Transportation Research,12.7
Communications in Transportation Research,12.7
CARBON,12.7
CARBON,12.7
Advances in Nutrition,12.7
Cleaner Materials,12.7
Journal of Obesity & Metabolic Syndrome,12.7
CANCER AND METASTASIS REVIEWS,12.7
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,12.7
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,12.7
BRAIN,12.6
BRAIN,12.6
Nature Cardiovascular Research,12.6
Asian Journal of Pharmaceutical Sciences,12.6
AUTOMATION IN CONSTRUCTION,12.6
AUTOMATION IN CONSTRUCTION,12.6
Advanced Membranes,12.6
CARDIOVASCULAR RESEARCH,12.5
GLOBAL CHANGE BIOLOGY,12.5
