Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,1879-0534,BIOLOGY - SCIE,"21,417",7.7,Q1,1.62,12.40%
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,ECOLOGY - SCIE,"14,787",7.7,Q1,1.62,26.17%
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,EVOLUTIONARY BIOLOGY - SCIE,"14,787",7.7,Q1,1.62,26.17%
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,ECOLOGY - SCIE,"11,024",7.6,Q1,1.37,31.62%
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,ECOLOGY - SCIE,"36,381",7,Q1,1.56,26.49%
ENTOMOLOGIA GENERALIS,ENTOMOL GEN,0171-8177,2363-7102,ENTOMOLOGY - SCIE,"1,218",6.9,Q1,2.67,0%
BIOLOGICAL RESEARCH,BIOL RES,0716-9760,0717-6287,BIOLOGY - SCIE,"3,442",6.7,Q1,1.5,99.25%
Methods in Ecology and Evolution,METHODS ECOL EVOL,2041-210X,2041-2096,ECOLOGY - SCIE,"23,860",6.6,Q1,1.76,40.18%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,0167-8809,1873-2305,ECOLOGY - SCIE,"33,665",6.6,Q1,1.69,14.26%
Systematic Biology,SYST BIOL,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY - SCIE,"19,649",6.5,Q1,2.06,38.82%
QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,0033-5770,1539-7718,BIOLOGY - SCIE,"4,280",6.5,Q1,0.72,21.05%
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,1466-822X,1466-8238,ECOLOGY - SCIE,"17,660",6.4,Q1,1.59,21.88%
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,0962-8436,1471-2970,BIOLOGY - SCIE,"57,331",6.3,Q1,1.47,36.50%
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,ECOLOGY - SCIE,"23,293",6.3,Q1,1.44,35.86%
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,ECOLOGY - SCIE,"12,404",6.1,Q1,2.02,28.78%
People and Nature,PEOPLE NAT,N/A,2575-8314,ECOLOGY - SCIE,"1,722",6.1,Q1,1.57,75.87%
Communications Biology,COMMUN BIOL,N/A,2399-3642,BIOLOGY - SCIE,"18,298",5.9,Q1,1.64,99.85%
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,ECOLOGY - SCIE,"17,205",5.9,Q1,1.49,79.87%
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,ECOLOGY - SCIE,"39,641",5.9,Q1,1.42,20.23%
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,ECOLOGY - SCIE,"25,995",5.7,Q1,1.36,32.86%
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,1350-4509,1745-2627,ECOLOGY - SCIE,"3,610",5.6,Q1,0.97,11.06%
JOURNAL OF ECOLOGY,J ECOL,0022-0477,1365-2745,ECOLOGY - SCIE,"24,903",5.5,Q1,1.46,29.80%
BioScience Trends,BIOSCI TRENDS,1881-7815,1881-7823,BIOLOGY - SCIE,"2,080",5.5,Q1,1.36,100%
Biology Direct,BIOL DIRECT,N/A,1745-6150,BIOLOGY - SCIE,"2,372",5.5,Q1,1.26,97.92%
Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,N/A,2056-3485,ECOLOGY - SCIE,"1,390",5.5,Q1,1.23,74.43%
BMC BIOLOGY,BMC BIOL,N/A,1741-7007,BIOLOGY - SCIE,"10,390",5.4,Q1,1.52,99.72%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,BIOLOGY - SCIE,"4,512",5.3,Q1,1.36,19.43%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,ECOLOGY - SCIE,"4,512",5.3,Q1,1.36,19.43%
Current Opinion in Insect Science,CURR OPIN INSECT SCI,2214-5745,2214-5753,ENTOMOLOGY - SCIE,"4,512",5.3,Q1,1.36,19.43%
Ecosystems and People,ECOSYST PEOPLE,N/A,2639-5916,ECOLOGY - ESCI,510,5.3,N/A,0.98,98.25%
FUNCTIONAL ECOLOGY,FUNCT ECOL,0269-8463,1365-2435,ECOLOGY - SCIE,"21,258",5.2,Q1,1.31,23.73%
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,ECOLOGY - SCIE,"13,530",5.2,Q1,1.18,29.84%
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,ECOLOGY - SCIE,"5,486",5.1,Q1,1.37,11.28%
Journal of Insects as Food and Feed,J INSECTS FOOD FEED,N/A,2352-4588,ENTOMOLOGY - SCIE,"1,810",5.1,Q1,1.34,0%
NeoBiota,NEOBIOTA,1619-0033,1314-2488,ECOLOGY - SCIE,"1,506",5.1,Q1,1.34,95.81%
Fire Ecology,FIRE ECOL,1933-9747,1933-9747,ECOLOGY - SCIE,"1,394",5.1,Q1,1.31,100%
Plants People Planet,PLANTS PEOPLE PLANET,N/A,2572-2611,ECOLOGY - SCIE,980,5.1,Q1,1.13,88.64%
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,1567-5394,1878-562X,BIOLOGY - SCIE,"7,086",5,Q1,1.18,11.91%
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,ECOLOGY - SCIE,"22,932",5,Q1,1.13,24.56%
Evolution Letters,EVOL LETT,N/A,2056-3744,EVOLUTIONARY BIOLOGY - SCIE,"1,129",5,Q1,1.09,64.93%
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,ECOLOGY - SCIE,"40,824",4.9,Q1,1.25,26.98%
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,EVOLUTIONARY BIOLOGY - SCIE,"40,824",4.9,Q1,1.25,26.98%
Biogeosciences,BIOGEOSCIENCES,1726-4170,1726-4189,ECOLOGY - SCIE,"24,290",4.9,Q1,1.21,99.18%
MAMMAL REVIEW,MAMMAL REV,0305-1838,1365-2907,ECOLOGY - SCIE,"2,967",4.9,Q1,1.05,22.31%
Ecosystem Health and Sustainability,ECOSYST HEALTH SUST,2096-4129,2332-8878,ECOLOGY - SCIE,"1,125",4.9,Q1,0.78,94.74%
JOURNAL OF PEST SCIENCE,J PEST SCI,1612-4758,1612-4766,ENTOMOLOGY - SCIE,"5,453",4.8,Q1,2.19,23.69%
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,1365-2656,ECOLOGY - SCIE,"19,200",4.8,Q1,1.86,26.35%
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,0307-6970,1365-3113,ENTOMOLOGY - SCIE,"3,263",4.8,Q1,1.64,17.88%
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,0307-6970,1365-3113,EVOLUTIONARY BIOLOGY - SCIE,"3,263",4.8,Q1,1.64,17.88%
ECOLOGY,ECOLOGY,0012-9658,1939-9170,ECOLOGY - SCIE,"63,530",4.8,Q1,1.3,17.87%
FASEB JOURNAL,FASEB J,0892-6638,1530-6860,BIOLOGY - SCIE,"54,965",4.8,Q1,0.93,25.61%
Ecological Processes,ECOL PROCESS,N/A,2192-1709,ECOLOGY - SCIE,"1,882",4.8,Q1,0.85,99.50%
Pesticide Biochemistry and Physiology,PESTIC BIOCHEM PHYS,0048-3575,1095-9939,ENTOMOLOGY - SCIE,"9,292",4.7,Q1,1.52,3.75%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,BIOLOGY - SCIE,"60,568",4.7,Q1,1.22,41.50%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,ECOLOGY - SCIE,"60,568",4.7,Q1,1.22,41.50%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,EVOLUTIONARY BIOLOGY - SCIE,"60,568",4.7,Q1,1.22,41.50%
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,ECOLOGY - SCIE,"11,496",4.6,Q1,1.29,75.05%
EXCLI Journal,EXCLI J,1611-2156,1611-2156,BIOLOGY - SCIE,"3,428",4.6,Q1,0.82,0%
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,1938-5455,ECOLOGY - SCIE,876,4.4,Q1,2.12,33.33%
Life Science Alliance,LIFE SCI ALLIANCE,N/A,2575-1077,BIOLOGY - SCIE,"2,684",4.4,Q1,1.29,98.59%
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,SAUDI J BIOL SCI,1319-562X,2213-7106,BIOLOGY - SCIE,"13,661",4.4,Q1,1.09,97.28%
Interface Focus,INTERFACE FOCUS,2042-8898,2042-8901,BIOLOGY - SCIE,"3,265",4.4,Q1,0.97,48.37%
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,0025-5564,1879-3134,BIOLOGY - SCIE,"7,286",4.3,Q2,0.88,13.86%
BIOLOGICAL CONTROL,BIOL CONTROL,1049-9644,1090-2112,ENTOMOLOGY - SCIE,"11,318",4.2,Q1,1.32,9.58%
ASTROBIOLOGY,ASTROBIOLOGY,1531-1074,1557-8070,BIOLOGY - SCIE,"5,520",4.2,Q2,1,28%
Biology-Basel,BIOLOGY-BASEL,N/A,2079-7737,BIOLOGY - SCIE,"11,782",4.2,Q2,0.93,99.48%
EUROPEAN JOURNAL OF SOIL BIOLOGY,EUR J SOIL BIOL,1164-5563,1778-3615,ECOLOGY - SCIE,"4,623",4.2,Q1,0.92,8.29%
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,1526-498X,1526-4998,ENTOMOLOGY - SCIE,"19,709",4.1,Q1,1.54,9.41%
Myrmecological News,MYRMECOL NEWS,1994-4136,N/A,ENTOMOLOGY - SCIE,786,4.1,Q1,1.27,0%
MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,1055-7903,1095-9513,EVOLUTIONARY BIOLOGY - SCIE,"21,268",4.1,Q1,1.08,14.18%
Evolutionary Applications,EVOL APPL,1752-4571,1752-4571,EVOLUTIONARY BIOLOGY - SCIE,"6,539",4.1,Q1,1.04,75.49%
Movement Ecology,MOV ECOL,2051-3933,2051-3933,ECOLOGY - SCIE,"1,439",4.1,Q2,1.03,100%
ECOLOGY AND SOCIETY,ECOL SOC,1708-3087,N/A,ECOLOGY - SCIE,"14,451",4.1,Q2,0.93,98.77%
EvoDevo,EVODEVO,N/A,2041-9139,EVOLUTIONARY BIOLOGY - SCIE,904,4.1,Q1,0.69,100%
Insect Science,INSECT SCI,1672-9609,1744-7917,ENTOMOLOGY - SCIE,"3,913",4,Q1,1.62,18.64%
Global Ecology and Conservation,GLOB ECOL CONSERV,N/A,2351-9894,ECOLOGY - SCIE,"8,634",4,Q2,0.97,96.43%
Soil Ecology Letters,SOIL ECOL LETT,2662-2289,2662-2297,ECOLOGY - ESCI,477,4,N/A,0.89,6.03%
BIOESSAYS,BIOESSAYS,0265-9247,1521-1878,BIOLOGY - SCIE,"10,991",4,Q2,0.75,36.17%
JOURNAL OF BIOGEOGRAPHY,J BIOGEOGR,0305-0270,1365-2699,ECOLOGY - SCIE,"17,967",3.9,Q2,1.08,21.16%
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,0022-2844,1432-1432,EVOLUTIONARY BIOLOGY - SCIE,"8,200",3.9,Q2,0.57,28.47%
JOURNAL OF SOIL AND WATER CONSERVATION,J SOIL WATER CONSERV,0022-4561,1941-3300,ECOLOGY - SCIE,"5,588",3.9,Q2,0.56,1.52%
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,INSECT BIOCHEM MOLEC,0965-1748,1879-0240,ENTOMOLOGY - SCIE,"9,631",3.8,Q1,1.33,9.79%
BASIC AND APPLIED ECOLOGY,BASIC APPL ECOL,1439-1791,1618-0089,ECOLOGY - SCIE,"4,326",3.8,Q2,0.99,47.16%
HEREDITY,HEREDITY,0018-067X,1365-2540,ECOLOGY - SCIE,"10,093",3.8,Q2,0.86,37.58%
HEREDITY,HEREDITY,0018-067X,1365-2540,EVOLUTIONARY BIOLOGY - SCIE,"10,093",3.8,Q2,0.86,37.58%
ECOLOGICAL ENGINEERING,ECOL ENG,0925-8574,1872-6992,ECOLOGY - SCIE,"23,129",3.8,Q2,0.71,9.83%
Emerging Topics in Life Sciences,EMERG TOP LIFE SCI,2397-8554,2397-8562,BIOLOGY - ESCI,"1,057",3.8,N/A,0.42,44.77%
ECOSYSTEMS,ECOSYSTEMS,1432-9840,1435-0629,ECOLOGY - SCIE,"11,304",3.7,Q2,1,27.75%
Geobiology,GEOBIOLOGY,1472-4677,1472-4669,BIOLOGY - SCIE,"2,719",3.7,Q2,0.89,24.18%
Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,N/A,2050-6201,EVOLUTIONARY BIOLOGY - SCIE,926,3.7,Q2,0.8,96.26%
CLADISTICS,CLADISTICS,0748-3007,1096-0031,EVOLUTIONARY BIOLOGY - SCIE,"3,957",3.6,Q2,1.58,11.21%
MICROBIAL ECOLOGY,MICROB ECOL,0095-3628,1432-184X,ECOLOGY - SCIE,"14,050",3.6,Q2,1.03,17.66%
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,1433-8319,1433-8319,ECOLOGY - SCIE,"2,704",3.6,Q2,0.83,11.76%
Insect Conservation and Diversity,INSECT CONSERV DIVER,1752-458X,1752-4598,ENTOMOLOGY - SCIE,"1,923",3.5,Q1,1.28,26.61%
JOURNAL OF BIOLOGICAL RHYTHMS,J BIOL RHYTHM,0748-7304,1552-4531,BIOLOGY - SCIE,"4,083",3.5,Q2,0.91,27.52%
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,0092-8240,1522-9602,BIOLOGY - SCIE,"5,905",3.5,Q2,0.85,28%
Ecological Complexity,ECOL COMPLEX,1476-945X,1476-9840,ECOLOGY - SCIE,"2,513",3.5,Q2,0.85,6.30%
Insect Systematics and Diversity,INSECT SYST DIVER,N/A,2399-3421,ENTOMOLOGY - SCIE,345,3.4,Q1,1.33,23.68%
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,0003-0090,1937-3546,ECOLOGY - SCIE,"2,715",3.4,Q2,1.09,0%
OIKOS,OIKOS,0030-1299,1600-0706,ECOLOGY - SCIE,"22,788",3.4,Q2,0.97,23.52%
ANIMAL CONSERVATION,ANIM CONSERV,1367-9430,1469-1795,ECOLOGY - SCIE,"4,162",3.4,Q2,0.83,19.39%
BMC EVOLUTIONARY BIOLOGY,BMC EVOL BIOL,1471-2148,1471-2148,EVOLUTIONARY BIOLOGY - SCIE,"13,156",3.4,Q2,0.79,99.38%
BIODIVERSITY AND CONSERVATION,BIODIVERS CONSERV,0960-3115,1572-9710,ECOLOGY - SCIE,"14,293",3.4,Q2,0.75,31.16%
RADIATION RESEARCH,RADIAT RES,0033-7587,1938-5404,BIOLOGY - SCIE,"9,234",3.4,Q2,0.75,0.30%
TAXON,TAXON,0040-0262,1996-8175,EVOLUTIONARY BIOLOGY - SCIE,"5,948",3.4,Q2,0.6,17.52%
EVOLUTION,EVOLUTION,0014-3820,1558-5646,ECOLOGY - SCIE,"29,351",3.3,Q2,0.95,23.58%
EVOLUTION,EVOLUTION,0014-3820,1558-5646,EVOLUTIONARY BIOLOGY - SCIE,"29,351",3.3,Q2,0.95,23.58%
Genome Biology and Evolution,GENOME BIOL EVOL,1759-6653,1759-6653,EVOLUTIONARY BIOLOGY - SCIE,"9,396",3.3,Q2,0.87,95.55%
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,BIOLOGY - SCIE,"12,045",3.3,Q2,0.86,32.40%
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,ECOLOGY - SCIE,"12,045",3.3,Q2,0.86,32.40%
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,EVOLUTIONARY BIOLOGY - SCIE,"12,045",3.3,Q2,0.86,32.40%
Journal of Biological Research-Thessaloniki,J BIOL RES-THESSALON,1790-045X,2241-5793,BIOLOGY - SCIE,595,3.3,Q2,0.69,74.07%
Arctic Science,ARCT SCI,N/A,2368-7460,ECOLOGY - SCIE,673,3.3,Q2,0.67,96.40%
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,0047-2484,1095-8606,EVOLUTIONARY BIOLOGY - SCIE,"9,575",3.2,Q2,1.59,8.70%
Fire-Switzerland,FIRE-BASEL,2571-6255,2571-6255,ECOLOGY - SCIE,"1,202",3.2,Q2,1.03,99.47%
Frontiers in Forests and Global Change,FRONT FOR GLOB CHANG,N/A,2624-893X,ECOLOGY - SCIE,"1,856",3.2,Q2,1.02,99.04%
RESTORATION ECOLOGY,RESTOR ECOL,1061-2971,1526-100X,ECOLOGY - SCIE,"7,917",3.2,Q2,0.83,19.19%
Scientifica,SCIENTIFICA,2090-908X,2090-908X,BIOLOGY - ESCI,"2,228",3.2,N/A,0.71,98.68%
Life-Basel,LIFE-BASEL,N/A,2075-1729,BIOLOGY - SCIE,"8,915",3.2,Q2,0.64,99.56%
Synthetic Biology,SYN BIOL,N/A,2397-7000,BIOLOGY - SCIE,354,3.2,Q2,0.63,96%
ECOLOGICAL MODELLING,ECOL MODEL,0304-3800,1872-7026,ECOLOGY - SCIE,"21,705",3.1,Q2,0.83,18.26%
JOURNAL OF HEREDITY,J HERED,0022-1503,1465-7333,EVOLUTIONARY BIOLOGY - SCIE,"6,324",3.1,Q2,0.76,35.53%
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,1476-9271,1476-928X,BIOLOGY - SCIE,"3,487",3.1,Q2,0.71,4.30%
Insects,INSECTS,N/A,2075-4450,ENTOMOLOGY - SCIE,"10,347",3,Q1,1.25,99.65%
Frontiers in Ecology and Evolution,FRONT ECOL EVOL,2296-701X,2296-701X,ECOLOGY - SCIE,"10,203",3,Q2,0.74,99.30%
JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,0278-0771,2162-4496,BIOLOGY - SCIE,951,2.9,Q2,1.1,0%
Fungal Ecology,FUNGAL ECOL,1754-5048,1878-0083,ECOLOGY - SCIE,"3,800",2.9,Q2,0.99,13.23%
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,ECOLOGY - SCIE,"27,807",2.9,Q2,0.95,19.82%
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,EVOLUTIONARY BIOLOGY - SCIE,"27,807",2.9,Q2,0.95,19.82%
AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1042-0533,1520-6300,BIOLOGY - SCIE,"4,562",2.9,Q2,0.91,10.23%
AoB Plants,AOB PLANTS,2041-2851,2041-2851,ECOLOGY - SCIE,"2,914",2.9,Q2,0.75,95.69%
BIOLOGICAL INVASIONS,BIOL INVASIONS,1387-3547,1573-1464,ECOLOGY - SCIE,"11,722",2.9,Q2,0.75,26.22%
Ecological Solutions and Evidence,ECOL SOLUT EVID,N/A,2688-8319,ECOLOGY - ESCI,335,2.9,N/A,0.69,77.91%
URBAN ECOSYSTEMS,URBAN ECOSYST,1083-8155,1573-1642,ECOLOGY - SCIE,"4,585",2.9,Q2,0.69,22.33%
EVOLUTION & DEVELOPMENT,EVOL DEV,1520-541X,1525-142X,EVOLUTIONARY BIOLOGY - SCIE,"1,838",2.9,Q2,0.66,23.26%
JOURNAL OF BIOSCIENCES,J BIOSCIENCES,0250-5991,0973-7138,BIOLOGY - SCIE,"3,995",2.9,Q2,0.55,0.30%
Journal of Integrated Pest Management,J INTEGR PEST MANAG,N/A,2155-7470,ENTOMOLOGY - SCIE,938,2.8,Q1,1.15,92%
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,0002-9483,1096-8644,EVOLUTIONARY BIOLOGY - SCIE,"13,764",2.8,Q3,1.1,13.18%
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,1100-9233,1654-1103,ECOLOGY - SCIE,"9,139",2.8,Q2,0.89,18.37%
APPLIED VEGETATION SCIENCE,APPL VEG SCI,1402-2001,1654-109X,ECOLOGY - SCIE,"2,787",2.8,Q2,0.85,21.37%
CHRONOBIOLOGY INTERNATIONAL,CHRONOBIOL INT,0742-0528,1525-6073,BIOLOGY - SCIE,"7,764",2.8,Q2,0.8,8.48%
JOURNAL OF EXPERIMENTAL BIOLOGY,J EXP BIOL,0022-0949,1477-9145,BIOLOGY - SCIE,"36,707",2.8,Q2,0.77,53.30%
Journal of Biological Dynamics,J BIOL DYNAM,1751-3758,1751-3766,ECOLOGY - SCIE,"1,126",2.8,Q2,0.64,99.14%
JOURNAL OF STORED PRODUCTS RESEARCH,J STORED PROD RES,0022-474X,1879-1212,ENTOMOLOGY - SCIE,"4,719",2.7,Q1,1.23,4.49%
JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,0306-4565,1879-0992,BIOLOGY - SCIE,"6,989",2.7,Q2,1.11,6.61%
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,1938-5331,ECOLOGY - SCIE,"3,898",2.7,Q2,0.97,57.26%
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,1938-5331,EVOLUTIONARY BIOLOGY - SCIE,"3,898",2.7,Q3,0.97,57.26%
BIOMETRIKA,BIOMETRIKA,0006-3444,1464-3510,BIOLOGY - SCIE,"27,499",2.7,Q2,0.92,9.27%
FRESHWATER BIOLOGY,FRESHWATER BIOL,0046-5070,1365-2427,ECOLOGY - SCIE,"14,924",2.7,Q2,0.85,20.04%
Ecosphere,ECOSPHERE,2150-8925,2150-8925,ECOLOGY - SCIE,"12,408",2.7,Q2,0.81,63.67%
ORYX,ORYX,0030-6053,1365-3008,ECOLOGY - SCIE,"4,444",2.7,Q2,0.78,73.09%
OECOLOGIA,OECOLOGIA,0029-8549,1432-1939,ECOLOGY - SCIE,"33,109",2.7,Q2,0.77,25.76%
CRYOBIOLOGY,CRYOBIOLOGY,0011-2240,1090-2392,BIOLOGY - SCIE,"5,687",2.7,Q2,0.76,9.24%
Animal Biotelemetry,ANIM BIOTELEM,N/A,2050-3385,ECOLOGY - SCIE,814,2.7,Q2,0.74,100%
Conservation Physiology,CONSERV PHYSIOL,2051-1434,2051-1434,ECOLOGY - SCIE,"2,330",2.7,Q2,0.7,92.69%
Journal of Arid Environments,J ARID ENVIRON,0140-1963,1095-922X,ECOLOGY - SCIE,"10,784",2.7,Q2,0.65,6.74%
Journal of Plant Ecology,J PLANT ECOL,1752-9921,1752-993X,ECOLOGY - SCIE,"2,964",2.7,Q2,0.65,36.59%
ECOTOXICOLOGY,ECOTOXICOLOGY,0963-9292,1573-3017,ECOLOGY - SCIE,"7,173",2.7,Q2,0.62,9.38%
YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,0044-0086,1551-4056,BIOLOGY - SCIE,"2,987",2.7,Q2,0.47,0%
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,1477-2019,1478-0941,EVOLUTIONARY BIOLOGY - SCIE,"1,599",2.6,Q3,0.96,7.74%
INSECT MOLECULAR BIOLOGY,INSECT MOL BIOL,0962-1075,1365-2583,ENTOMOLOGY - SCIE,"3,767",2.6,Q1,0.85,10.75%
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,0955-3002,1362-3095,BIOLOGY - SCIE,"6,356",2.6,Q2,0.8,13.32%
Evolutionary Human Sciences,EVOL HUM SCI,N/A,2513-843X,EVOLUTIONARY BIOLOGY - ESCI,360,2.6,N/A,0.76,99.36%
ECOHYDROLOGY & HYDROBIOLOGY,ECOHYDROL HYDROBIOL,1642-3593,2080-3397,ECOLOGY - SCIE,"1,184",2.6,Q3,0.73,4.02%
Ecology and Evolution,ECOL EVOL,2045-7758,2045-7758,ECOLOGY - SCIE,"24,505",2.6,Q3,0.69,64.16%
